responseID,persona,human,ss
R_007XyDh4uUC5ZV7,"Racially, I am white. I am male. I was born in 1975. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Manitoba. ",1,1
R_12EH8cxSq7g3ZWD,"Racially, I am Indigenous. I am male. I was born in 2001. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in New Brunswick. ",1,2
R_0pGyvlvaXBtfByV,"Racially, I am white. I am female. I was born in 1992. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Nova Scotia. ",1,2
R_0CCG2hmjEdgValH,"Racially, I am white. I am male. I was born in 1977. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Saskatchewan. ",1,2
R_12xyjrsKG5W0Ea2,"Racially, I am . I am female. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",-1,1
R_10ZaZ52tZ7d6Gar,"Racially, I am white. I am female. I was born in 1951. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,2
R_116dAcclOpOCMq5,"Racially, I am white. I am male. I was born in 1991. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Newfoundland and Labrador. ",2,1
R_12sxXqJHh5EkhdA,"Racially, I am white. I am male. I was born in 1945. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in New Brunswick. ",-1,2
R_11c3YwObLHUmMuZ,"Racially, I am white. I am female. I was born in 1966. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Manitoba. ",-1,2
R_12eQq0okFR5zEf9,"Racially, I am white. I am female. I was born in 1957. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Alberta. ",2,1
R_1C3iu6BWcNjrCko,"Racially, I am Asian. I am male. I was born in 1985. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in British Columbia. ",-1,2
R_10NV7i9nPunqoqB,"Racially, I am white. I am male. I was born in 1972. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",1,1
R_1BRYTFsRAv4IBpW,"Racially, I am white. I am male. I was born in 1986. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",-1,2
R_1Cs8qm9bPMNz3qD,"Racially, I am white. I am male. I was born in 1948. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",1,2
R_12ikWAlJn58VFSQ,"Racially, I am . I am female. I was born in 1976. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Nova Scotia. ",2,1
R_1CIW7kxsp8mnwj8,"Racially, I am white. I am female. I was born in 1955. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Nova Scotia. ",1,1
R_03tcAmt683t42lj,"Racially, I am white. I am male. I was born in 2001. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",-1,1
R_1C2ABRDm5ACJ1E1,"Racially, I am white. I am male. I was born in 1942. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,2
R_1CKrZnF87aaMw9L,"Racially, I am Asian. I am male. I was born in 1989. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Nova Scotia. ",1,2
R_0AOCTg0R5HNe2yZ,"Racially, I am white. I am female. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Ontario. ",2,1
R_0CwU38AaUnMSYFP,"Racially, I am white. I am male. I was born in 1994. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in New Brunswick. ",2,2
R_0UskmFPLCxZhuAF,"Racially, I am white. I am female. I was born in 1948. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Prince Edward Island. ",1,1
R_12t0PgBRZ66mwNt,"Racially, I am white. I am male. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,1
R_0krZCk8BdVcavsJ,"Racially, I am white. I am male. I was born in 1964. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in British Columbia. ",2,1
R_10GXrmBtnUgPiPa,"Racially, I am white. I am male. I was born in 1988. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Alberta. ",1,2
R_117WlNiZBbcAroo,"Racially, I am white. I am female. I was born in 1955. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",1,2
R_1DAKaIn3jJMmBs0,"Racially, I am white. I am female. I was born in 1980. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",1,2
R_1EcelaH9ZOTrU0X,"Racially, I am white. I am male. I was born in 1954. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",-1,2
R_1Flln1lfLBXW9LR,"Racially, I am white. I am female. I was born in 1955. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Nova Scotia. ",1,2
R_10w1sSR3qJ3Hi99,"Racially, I am white. I am female. I was born in 1971. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Ontario. ",2,2
R_0DqwijjgDPOFMHv,"Racially, I am white. I am male. I was born in 1953. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Nova Scotia. ",1,2
R_12G911wM64RrvzE,"Racially, I am white. I am male. I was born in 1946. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Alberta. ",2,1
R_12MsyTISuqnGqyL,"Racially, I am white. I am male. I was born in 1998. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,1
R_1DD7VomMXYhOOby,"Racially, I am white. I am female. I was born in 1999. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",1,2
R_10TubQyEJVVLXV7,"Racially, I am white. I am female. I was born in 1964. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",1,1
R_1EiZrzSl6tjNHuP,"Racially, I am white. I am female. I was born in 1965. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Newfoundland and Labrador. ",1,1
R_11dMK5r3UzIxalB,"Racially, I am Asian. I am male. I was born in 1974. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Alberta. ",1,2
R_02OjAuvgbL6W2VX,"Racially, I am white. I am male. I was born in 1971. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",2,2
R_1GBP9HhqfM5AiCX,"Racially, I am white. I am female. I was born in 1960. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Prince Edward Island. ",1,1
R_1FSdXENPUMYiQW2,"Racially, I am . I am female. I was born in 1961. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Ontario. ",2,1
R_11WNfnW7BZfghgc,"Racially, I am white. I am male. I was born in 1971. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Newfoundland and Labrador. ",-1,1
R_1AXXSmJkg9xPEPL,"Racially, I am white. I am female. I was born in 1975. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Quebec. ",-1,1
R_1CxVcWJcShauxa2,"Racially, I am white. I am male. I was born in 1956. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in British Columbia. ",2,2
R_0xfr1CtxmMSNge5,"Racially, I am white. I am male. I was born in 1983. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in New Brunswick. ",-1,2
R_1CDPYzGUYEtnBzd,"Racially, I am black. I am female. I was born in 1987. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",1,1
R_1CJRiDY2ZZYMYx2,"Racially, I am white. I am male. I was born in 1957. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in New Brunswick. ",1,2
R_1C7P0JA3IhWHdho,"Racially, I am white. I am female. I was born in 1950. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Quebec. ",-1,1
R_1CI0a0zyoCnZ0jA,"Racially, I am white. I am male. I was born in 1959. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Alberta. ",2,1
R_110aMoPYBQZXDBP,"Racially, I am white. I am male. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Alberta. ",2,1
R_1C6XiROQkZZIOJg,"Racially, I am white. I am male. I was born in 1943. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in British Columbia. ",1,2
R_1DNcV1fmQQdBYVs,"Racially, I am white. I am male. I was born in 1983. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Quebec. ",1,2
R_10r6PopXcy8Dqdt,"Racially, I am white. I am female. I was born in 1961. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Quebec. ",-1,2
R_1CBYsEkYwpMZI2f,"Racially, I am white. I am female. I was born in 1983. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Manitoba. ",1,2
R_1Cjad5BraiZ3Hku,"Racially, I am white. I am male. I was born in 1978. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",1,2
R_1GVy0SJ7hNdwalX,"Racially, I am white. I am male. I was born in 1965. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Nova Scotia. ",-1,2
R_1GQc8yMe00pvXoO,"Racially, I am Asian. I am female. I was born in 1988. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",1,2
R_1GP0OngB0A3tA4W,"Racially, I am white. I am female. I was born in 1999. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in New Brunswick. ",-1,2
R_1FrkSIUsx5Uff0C,"Racially, I am white. I am female. I was born in 1989. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Manitoba. ",2,1
R_0PV1eeE7PrjZnZT,"Racially, I am white. I am female. I was born in 1991. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Ontario. ",2,1
R_1FqUDWq2BoBfDmP,"Racially, I am Asian. I am male. I was born in 2000. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Alberta. ",2,2
R_122Ll9rW4bFHAuR,"Racially, I am white. I am male. I was born in 1950. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",1,2
R_1FG0cACVcifKaID,"Racially, I am Asian. I am male. I was born in 1999. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in British Columbia. ",1,1
R_1DIq1PbqjLSOON6,"Racially, I am white, Indigenous. I am male. I was born in 1985. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Saskatchewan. ",1,1
R_0W0EOWeZSyW0OT7,"Racially, I am white. I am female. I was born in 1960. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Quebec. ",-1,1
R_1DvwveixIbZbbs2,"Racially, I am white. I am male. I was born in 1963. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Nova Scotia. ",1,2
R_10YFcAJXWQovP7N,"Racially, I am white. I am male. I was born in 1961. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in New Brunswick. ",1,2
R_1DGaVbEbck9dIJi,"Racially, I am Hispanic. I am male. I was born in 1988. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Quebec. ",2,1
R_1FS9vqZSbKFLMco,"Racially, I am white. I am male. I was born in 1966. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Ontario. ",2,1
R_1EZjC3QPevadqlj,"Racially, I am white. I am male. I was born in 1987. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",1,2
R_1GUZkeBwjvrSriV,"Racially, I am white. I am male. I was born in 1970. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Quebec. ",-1,2
R_1FlHIJcLlMm5rPP,"Racially, I am white. I am male. I was born in 1972. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Alberta. ",2,1
R_1FFCCIvfUTbZ9Vz,"Racially, I am white. I am male. I was born in 1965. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Newfoundland and Labrador. ",2,2
R_124rrNETNuB34kb,"Racially, I am white. I am male. I was born in 1963. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in New Brunswick. ",-1,2
R_1GKCz3ml1SCxfVA,"Racially, I am white. I am male. I was born in 1962. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",1,2
R_1FbSG7wc9q1JlLM,"Racially, I am white. I am male. I was born in 1957. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in New Brunswick. ",1,2
R_1F4n2m8n7q0nnAx,"Racially, I am Hispanic. I am male. I was born in 1985. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Alberta. ",2,1
R_1C1KNaPp3yzr9vR,"Racially, I am white. I am male. I was born in 1968. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Newfoundland and Labrador. ",2,2
R_1FfGhcHHe1sivK7,"Racially, I am Asian. I am male. I consider myself on the left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",2,1
R_12o4JBeI2c2rdQ6,"Racially, I am white. I am male. I was born in 1947. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Newfoundland and Labrador. ",2,2
R_1FJTKHBBKaDmkqv,"Racially, I am white. I am male. I was born in 1943. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in British Columbia. ",2,2
R_1C4rXY6XzogCMV9,"Racially, I am white, . I am male. I was born in 1990. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Ontario. ",1,2
R_1CEMUa1f70F87YE,"Racially, I am white. I am male. I was born in 1953. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in British Columbia. ",-1,2
R_1C8EEmDhj8Xzine,"Racially, I am white. I am male. I was born in 1994. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in New Brunswick. ",1,1
R_1FFdKNflg6yPWwi,"Racially, I am white. I am female. I was born in 1955. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 2. I live in Ontario. ",2,2
R_1H5DLyF9nsCNMBP,"Racially, I am white. I am female. I was born in 1981. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Prince Edward Island. ",1,1
R_1HdGvZChLkhkEm7,"Racially, I am white. I am male. I was born in 1988. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",2,1
R_1FrzDDh5NzVRf0z,"Racially, I am white. I am male. I was born in 1985. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in New Brunswick. ",1,2
R_1DPbzb4fL94ZI6r,"Racially, I am white. I am female. I was born in 1970. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in New Brunswick. ",2,1
R_1INrP3yqKSlD9Ui,"Racially, I am Indigenous. I am male. I was born in 1986. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Saskatchewan. ",1,1
R_1Hnr2m8yWPK23kd,"Racially, I am white. I am female. I was born in 1977. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Alberta. ",2,2
R_1IQTuNVFxfwIdXJ,"Racially, I am white. I am female. I was born in 1966. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Nova Scotia. ",2,1
R_12PVWfIsicbIv8B,"Racially, I am white. I am female. I was born in 1952. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Quebec. ",-1,2
R_1DJcgRQfatlWetl,"Racially, I am white. I am female. I was born in 2001. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Nova Scotia. ",1,1
R_1IMLgqzhWruRbX6,"Racially, I am white. I am male. I was born in 1961. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Nova Scotia. ",1,2
R_1IK68EZH8dm5QPX,"Racially, I am white. I am female. I was born in 1951. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Alberta. ",1,2
R_1ISE7CLAQGrKrf4,"Racially, I am white. I am female. I was born in 1994. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Ontario. ",-1,1
R_1FxIzfSG3nobwYj,"Racially, I am Asian. I am female. I was born in 1957. I consider myself on the centre left side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Ontario. ",1,1
R_1DupXyMSdUZXTXn,"Racially, I am white. I am female. I was born in 1987. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 6. I live in Ontario. ",-1,1
R_1DtJUulLHt98kui,"Racially, I am white. I am female. I was born in 1967. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 4. I live in Quebec. ",1,2
R_1DqzrY5pjk9Ex1M,"Racially, I am white. I am male. I was born in 1957. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Manitoba. ",1,2
R_1Ii2R0VEJ5nYrCh,"Racially, I am white. I am male. I was born in 1953. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",-1,2
R_1Gw7Aw4Q1Vz11RO,"Racially, I am white. I am male. I was born in 1966. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Nova Scotia. ",1,2
R_1F3TcBKe8Nr4dNs,"Racially, I am white, Indigenous. I am female. I was born in 1997. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Nova Scotia. ",1,1
R_1IFrrojyDflS6F8,"Racially, I am white. I am male. I was born in 1971. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Ontario. ",1,2
R_1GEq5S003KbcOE8,"Racially, I am white. I am female. I was born in 2001. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Ontario. ",2,1
R_1H7Yh4Rgg6txCEB,"Racially, I am white. I am female. I was born in 1960. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Alberta. ",1,2
R_1ImchvFFGUxMZXa,"Racially, I am white. I am male. I was born in 1966. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 1. I live in Newfoundland and Labrador. ",-1,2
R_1HcMZR9AkOP9tsK,"Racially, I am white. I am male. I was born in 1965. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 7. I live in Quebec. ",-1,2
R_1E0TG4k7WYkpjK5,"Racially, I am white. I am male. I was born in 1972. I consider myself on the centre side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 10. I live in Alberta. ",2,2
R_1DvshCLwKeJbLyk,"Racially, I am white, Indigenous. I am not male or female. I was born in 2002. I consider myself on the right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 9. I live in Nova Scotia. ",1,2
R_1Hqs0rY9dbe9ynW,"Racially, I am white. I am female. I was born in 1998. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 3. I live in Ontario. ",1,1
R_1KeaLJlanqBke2l,"Racially, I am white. I am male. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 5. I live in Saskatchewan. ",1,2
R_1FamDpvvmlUc7wW,"Racially, I am white. I am female. I was born in 1984. I consider myself on the centre right side of the political spectrum. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 8. I live in Ontario. ",1,2
R_1IWOONlXavaHQ4k,"Racially, I am white. I am female. I was born in 1990. On a scale where 0 means not interested at all and 10 means a great deal of interest, I would rate my interest in politics generally as 0. I live in Saskatchewan. ",-1,2
