responseID,VCF0101,VCF0104,VCF0105a,VCF0110,VCF0111,VCF0114,VCF0127,VCF0128,VCF0130,VCF0140,VCF0143,VCF0146,VCF0147,VCF0901b,VCF0302,VCF0310,VCF0705,VCF0733,VCF0849
175,63,1,1,4, ,3,2,1,3,6,1,2,1,AZ,2,3,1,1,6
176,64,2,1,4, ,5,2,1,1,6,1,1,1,TN,2,2,0,9,5
177,61,2,1,3, ,1,2,1,5,5,1,9,3,OH,5,3,0,7,1
178,60,1,5,2, ,1,2,1,5,3,1,9,3,KY,1,3,2,9,5
179,48,1,1,2, ,3,2,1,1,3,1,9,1,AL,1,1,2,3,5
180,69,2,1,4, ,3,2,1,4,6,1,1,2,RI,1,3,2,6,5
181,80,2,1,4, ,0,1,3,5,6,5,9,5,NJ,1,3,2,4,1
182,77,2,1,3, ,2,2,1,2,5,1,9,5,TX,2,2,2,5,5
183,48,2,2,4, ,3,2,2,5,6,5,9,7,MD,5,3,1,7,1
184,47,2,2,3, ,1,2,1,5,5,1,2,4,OH,5,3,1,7,1
185,43,1,1,2, ,1,2,4,2,3,1,9,2,CA,4,3,0,9,1
186,71,2,5,2, ,3,1,2,5,3,5,9,3,PA,5,1,1,1,1
187,31,1,5,2, ,3,2,4,5,3,5,2,2,TX,5,2,0,1,1
188,78,2,1,4, ,4,2,1,1,6,1,1,1,CA,5,3,1,7,1
189,76,2,2,4, ,5,2,1,5,6,1,9,5,CA,5,3,1,7,1
190,46,2,1,3, ,1,2,2,3,5,1,1,1,FL,2,2,2,4,5
191,31,2,1,2, ,3,2,4,5,3,1,9,2,OH,2,1,0,2,1
192,29,2,2,3, ,4,2,1,4,5,1,2,7,KS,2,1,1,7,5
193,69,2,5,3, ,2,2,2,2,4,5,9,5,CA,5,2,1,2,5
194,34,2,1,2, ,3,2,4,5,3,1,9,7,TX,5,1,0,4,1
195,23,1,1,3, ,1,2,4,5,5,1,2,2,FL,1,1,2,1,5
196,61,1,1,4, ,3,2,3,4,6,1,1,1,MD,2,1,1,7,1
197,57,1,1,4, ,4,1,4,5,6,1,2,1,DC,5,3,1,7,1
198,33,2,1,4, ,1,2,1,2,6,1,9,1,TN,1,1,2,5,5
199,0,2,1,4, ,4,2,1,5,6,1,9,1,CA,2,1,2,3,5
200,71,1,1,4, ,3,2,2,4,6,1,9,3,CA,5,3,0,2,1
201,50,1,1,4, ,4,2,1,5,6,1,1,1,FL,1,3,2,5,5
202,71,2,1,2, ,3,2,4,2,3,1,9,1,KS,2,2,0,1,5
203,70,2,1,0, ,3,2,1,4,9,1,1,3,IN,2,2,0,1,5
204,22,1,5,2, ,3,2,4,5,3,1,9,7,TX,2,2,0,2,5
205,24,1,5,3, ,4,2,2,3,5,5,1,2,TX,2,1,0,0,1
206,40,2,2,3, ,1,2,4,5,5,1,2,2,NJ,5,2,0,2,1
207,49,1,1,4, ,4,2,4,5,6,1,1,1,ID,2,2,1,4,1
208,56,2,1,4, ,4,1,1,1,6,1,1,2,CA,5,3,1,1,1
209,59,1,5,2, ,3,2,1,1,3,5,1,1,FL,2,3,0,1,5
210,63,1,1,3, ,4,2,1,3,4,1,1,1,FL,1,3,2,2,5
211,73,1,1,4, ,4,2,4,5,6,1,9,1,OR,5,3,1,7,1
212,56,2,1,4, ,4,1,1,2,6,1,1,1,MN,5,3,1,7,1
213,41,1,1,4, ,5,2,1,5,6,1,1,1,MI,1,3,2,2,5
214,48,2,1,3, ,3,2,4,5,5,1,9,1,CA,2,1,2,1,5
215,80,2,1,1, ,5,2,1,2,2,5,1,1,KY,1,3,2,2,5
216,36,2,2,3, ,3,2,4,5,5,1,2,7,AZ,4,3,0,9,1
217,64,2,6,4, ,3,2,1,5,6,1,9,2,TX,1,3,2,1,5
218,28,1,1,3, ,4,2,2,3,5,1,9,1,WI,1,1,2,1,5
219,21,1,1,3, ,1,1,4,5,5,1,9,2,CA,2,3,0,9,1
220,61,1,1,3, ,3,2,4,5,5,1,9,1,IL,1,2,2,5,5
221,65,1,1,3, ,1,2,2,5,5,5,9,2,PA,5,3,1,4,1
222,35,2,1,3, ,3,2,4,5,5,1,1,7,MO,1,1,2,9,5
223,31,1,1,4, ,3,1,4,5,6,1,9,1,IN,2,2,1,4,1
224,24,2,6,3, ,2,2,1,2,5,1,9,2,AZ,2,1,0,9,5
225,37,2,1,2, ,1,2,4,4,3,1,9,4,AR,2,2,0,2,5
226,53,1,1,2, ,3,2,1,4,3,1,9,1,PA,2,3,2,5,1
227,34,2,1,4, ,3,2,1,2,6,1,1,1,OR,2,2,1,2,1
228,60,1,3,4, ,3,2,4,5,6,5,1,3,TX,2,3,1,3,1
229,66,1,1,3, ,3,2,1,2,4,1,1,1,VA,1,3,1,1,1
230,70,1,1,2, ,3,1,2,4,3,1,9,1,FL,1,3,2,7,1
231,51,2,1,4, ,4,2,4,5,6,5,9,3,CT,5,3,1,2,1
232,44,2,1,2, ,3,2,1,5,3,1,9,2,MI,5,2,1,7,1
233,60,2,2,4, ,3,2,1,1,6,5,9,1,GA,5,2,1,4,5
234,34,1,4,3, ,3,2,4,4,5,1,2,1,VA,1,3,0,9,5
235,53,1,1,3, ,4,2,4,3,5,1,1,2,VA,1,3,2,3,5
236,37,2,1,4, ,4,2,4,5,6,1,1,1,NY,5,3,1,7,1
237,56,2,1,3, ,3,2,2,5,5,5,9,3,CA,2,2,0,9,1
238,46,2,1,3, ,2,2,4,4,5,1,1,2,NE,5,2,0,3,1
239,38,2,3,3, ,5,1,2,5,5,5,9,1,CA,5,2,1,9,1
240,63,2,6,1, ,3,2,4,4,2,1,9,3,NH,2,3,1,3,1
241,29,1,1,4, ,1,2,4,5,6,1,2,2,NV,5,1,1,5,1
242,41,1,5,2, ,3,2,2,2,3,1,1,1,NM,5,2,0,9,5
243,54,1,1,4, ,4,2,4,3,6,1,9,1,MD,2,2,3,5,5
244,79,2,1,4, ,3,2,4,1,6,1,9,1,CA,1,3,2,7,5
245,31,2,1,3, ,1,2,1,3,5,1,1,2,TN,5,2,0,2,5
246,50,1,1,3, ,4,2,4,5,4,1,9,1,AZ,1,3,2,3,5
247,64,2,1,4, ,3,1,4,4,6,1,2,3,NY,5,3,1,7,1
248,80,2,1,0, ,0,1,1,3,9,1,1,5,FL,5,2,1,4,5
249,60,1,1,4, ,4,1,4,5,6,1,9,1,WI,5,3,1,3,1
250,28,2,5,4, ,4,1,1,1,6,5,9,1,CA,5,3,0,9,1
251,46,2,5,2, ,3,2,4,4,3,1,9,1,FL,5,2,1,1,5
252,66,2,1,4, ,3,2,1,5,6,1,1,1,AZ,5,3,1,0,1
253,63,1,2,1, ,1,2,4,5,2,1,2,1,MD,1,3,0,9,5
254,38,2,1,3, ,1,2,2,3,4,1,2,1,CA,2,2,3,9,1
255,59,2,1,3, ,2,2,1,5,4,1,2,5,TX,1,3,2,3,5
256,64,1,1,4, ,3,2,4,5,6,1,9,2,CA,4,3,3,7,5
257,72,1,1,4, ,1,2,1,4,6,1,2,3,OH,1,3,2,7,5
258,68,1,1,4, ,1,2,4,5,6,1,9,2,WA,2,3,1,7,1
259,28,2,1,2, ,2,2,4,5,3,1,2,7,FL,5,2,0,1,5
260,27,1,1,3, ,3,2,4,5,5,5,9,2,IL,5,1,1,3,1
261,62,2,1,4, ,4,2,4,5,6,1,1,1,MD,5,3,1,7,1
262,70,1,1,4, ,3,2,1,5,6,1,9,1,TX,1,2,2,0,5
263,29,2,1,3, ,2,2,4,5,5,1,2,7,CO,5,2,1,6,1
264,62,1,2,1, ,3,1,4,4,2,5,9,1,NY,5,3,1,2,5
265,60,2,1,4, ,4,2,2,4,6,1,9,3,PA,2,2,3,0,1
266,69,2,1,4, ,4,2,2,5,6,1,1,1,NC,2,3,2,7,5
267,58,0,1,4, ,4,1,4,5,6,1,1,7,CA,5,3,1,7,1
268,47,2,1,3, ,3,2,1,3,5,1,9,1,GA,1,3,2,7,5
269,53,2,1,4, ,3,2,2,1,6,1,2,1,MO,1,3,2,2,5
270,72,1,1,4, ,3,2,1,4,6,1,2,3,FL,2,2,1,2,1
271,35,2,1,3, ,1,2,4,5,5,1,2,4,KY,5,3,1,5,1
272,62,2,1,4, ,2,2,1,2,6,1,1,3,MI,1,2,2,5,5
273,73,2,1,3, ,4,2,1,5,5,1,9,3,CA,5,3,0,4,1
274,28,1,1,3, ,3,2,1,3,5,1,2,1,IN,1,3,0,7,5
275,57,2,1,4, ,4,2,1,5,6,1,1,1,PA,1,3,2,3,5
276,29,1,1,4, ,4,1,1,2,6,1,9,1,KY,5,2,0,7,5
277,39,1,1,3, ,2,2,4,4,5,1,9,1,IN,2,3,2,2,1
278,55,2,6,4, ,3,2,4,5,6,1,9,1,WA,5,2,1,9,1
279,42,2,1,2, ,1,1,4,3,3,1,1,3,OH,2,3,3,4,1
280,67,2,1,3, ,3,2,1,2,5,1,9,1,PA,1,3,2,0,5
281,58,1,1,4, ,5,2,2,4,6,1,1,7,CA,2,3,2,1,5
282,67,1,1,4, ,3,2,4,2,6,1,9,1,KS,1,2,2,9,5
283,58,2,1,4, ,0,2,1,2,6,1,9,1,IN,1,3,2,4,5
284,25,1,1,4, ,3,2,1,5,6,1,9,2,IL,5,3,1,7,1
285,73,2,2,4, ,2,2,4,5,6,5,2,3,AZ,5,1,1,9,1
286,30,2,2,4, ,3,2,1,4,6,1,9,2,TX,5,1,1,5,1
287,38,1,1,3, ,3,2,1,4,5,1,9,1,AL,1,2,2,3,5
288,64,2,1,3, ,4,2,1,4,4,1,9,1,TX,1,3,0,9,5
289,40,2,1,4, ,4,2,4,5,6,1,1,1,TX,5,3,1,7,1
290,0,2,1,4, ,1,1,1,5,6,1,9,7,GA,2,1,2,4,5
291,51,1,1,4, ,4,1,1,2,6,1,1,1,TX,2,2,2,3,5
292,61,1,1,3, ,1,2,1,5,5,1,9,7,WA,2,2,1,9,5
293,59,1,2,3, ,4,1,1,5,5,5,9,1,FL,5,3,1,7,1
294,58,2,5,4, ,2,2,1,3,6,1,9,2,WI,2,3,1,7,1
295,53,1,4,2, ,3,1,2,1,3,5,9,2,IN,2,1,0,3,5
296,75,2,1,3, ,1,2,1,5,5,1,1,5,MI,5,3,1,9,5
297,37,2,1,4, ,4,2,1,5,6,1,1,1,MI,5,2,1,6,1
298,77,1,1,4, ,2,2,1,5,6,1,9,1,NC,2,2,2,2,5
299,0,2,1,1, ,1,2,4,1,2,1,9,3,GA,9,1,0,9,5
300,68,2,1,3, ,3,1,2,1,5,1,1,1,CT,2,3,2,4,5
301,66,1,1,4, ,3,2,2,5,6,1,1,1,PA,5,2,2,6,5
302,43,2,2,3, ,1,2,4,1,5,1,9,3,MI,2,2,0,9,1
303,72,1,1,3, ,4,2,4,9,5,1,1,1,NJ,2,2,2,3,5
304,50,2,1,4, ,5,2,2,4,6,1,1,1,NJ,1,2,2,7,5
305,58,2,1,4, ,2,2,3,5,6,1,1,1,VT,5,3,1,7,1
306,28,1,1,4, ,3,2,1,5,6,1,9,1,KY,5,2,0,1,1
307,59,2,1,3, ,3,2,2,5,5,5,9,3,MI,2,2,1,1,1
308,72,2,1,2, ,4,2,2,2,3,1,9,1,WI,1,3,2,4,5
309,29,2,1,4, ,1,2,1,5,6,1,2,2,FL,2,2,1,3,1
310,60,1,5,4, ,3,2,3,2,6,5,1,1,IL,5,3,1,9,1
311,66,1,1,3, ,3,1,1,4,5,1,9,1,OH,2,3,1,7,1
312,56,1,1,4, ,3,2,1,3,6,1,9,1,WI,5,3,1,5,1
313,40,1,6,4, ,4,2,4,1,6,1,9,1,MD,1,2,2,4,5
314,45,2,1,4, ,1,2,3,5,6,1,1,1,FL,1,2,2,2,5
315,51,2,1,4, ,3,2,1,3,6,1,9,1,CA,2,3,2,7,5
316,68,2,1,4, ,3,2,4,5,6,1,9,1,WA,5,3,1,5,1
317,22,1,1,4, ,4,2,2,4,6,5,1,7,NJ,1,2,0,5,5
318,40,2,1,4, ,1,2,1,5,6,1,1,1,AZ,1,3,2,6,5
319,63,2,1,3, ,2,2,1,2,5,1,1,3,KS,2,3,1,4,1
320,59,2,1,4, ,0,2,4,5,6,1,1,1,MD,5,3,1,7,1
321,53,2,5,2, ,2,2,4,1,3,5,9,3,MD,5,3,1,9,5
322,80,1,1,2, ,2,2,4,5,3,1,9,1,OR,5,2,1,9,5
323,67,2,1,3, ,4,2,2,4,4,1,1,1,NE,1,3,2,7,5
324,35,1,1,4, ,4,1,2,4,6,1,9,1,PA,2,1,0,9,5
325,69,1,1,3, ,3,2,4,5,5,1,9,1,WA,5,2,1,7,1
326,80,2,1,4, ,3,2,1,5,6,1,1,1,AZ,5,3,1,1,5
327,62,1,1,3, ,4,1,4,2,5,1,1,1,IN,1,3,2,5,5
328,38,2,1,2, ,1,2,4,4,3,1,1,3,MI,1,1,0,1,5
329,71,2,1,3, ,4,2,1,4,5,1,9,1,MI,1,3,2,4,5
330,80,1,1,3, ,3,2,1,5,5,5,1,5,GA,1,2,2,1,5
331,61,2,1,4, ,5,2,3,4,6,1,9,1,NY,5,3,1,7,1
332,65,1,1,4, ,4,2,4,2,6,1,2,1,TX,1,3,2,7,5
333,30,1,1,3, ,1,2,4,5,5,1,9,2,IL,2,1,0,1,5
