responseID,VCF0101,VCF0104,VCF0105a,VCF0130,VCF0302,VCF0310,VCF0705,VCF0733,VCF0305,VCF0803,VCF0901b
59996,27,2,1,4,2,2,0,9,1,4,OH
59997,62,1,1,1,1,2,0,9,4,9,KY
59998,51,2,9,1,2,3,3,9,1,4,PA
59999,60,1,1,5,1,2,0,9,4,6,AZ
60000,65,2,1,1,5,3,1,3,4,3,GA
60001,0,1,1,4,2,3,1,7,2,3,NY
60002,48,1,1,4,1,2,1,3,3,4,OH
60003,55,1,1,5,2,2,2,3,2,6,TX
60004,54,1,1,3,2,1,1,7,1,5,IL
60005,38,2,1,5,5,2,0,5,3,4,MT
60006,80,1,1,1,5,3,1,7,4,2,TN
60007,37,2,6,5,5,3,1,7,3,2,LA
60008,38,1,1,5,2,2,1,5,2,2,NJ
60009,60,1,1,5,2,3,1,2,2,4,CA
60010,46,1,6,3,2,2,1,7,2,5,CA
60011,78,2,1,5,5,3,2,7,4,1,CA
60012,39,2,1,2,5,2,1,7,4,2,CO
60013,33,2,2,5,5,2,1,7,3,2,IL
60014,74,2,1,5,5,3,1,1,4,2,CA
60015,61,2,1,5,5,3,1,7,3,3,MN
60016,67,2,1,5,5,3,1,0,4,9,MN
60017,60,2,1,5,5,3,1,1,3,9,PA
60018,0,1,1,5,1,3,2,4,4,6,PA
60019,21,1,2,5,2,2,0,9,1,9,IN
60020,49,2,2,4,5,2,0,5,4,4,NY
60021,80,1,1,5,5,3,1,9,4,2,PA
60022,70,1,1,5,2,1,2,1,2,4,FL
60023,70,2,1,5,5,2,1,5,4,5,TX
60024,72,1,1,1,2,2,2,1,2,5,OK
60025,78,2,1,1,1,3,2,7,4,7,AZ
60026,43,2,1,2,5,2,1,3,4,2,DE
60027,45,2,2,3,2,3,0,3,1,9,DC
60028,44,2,1,3,5,2,1,4,3,3,IN
60029,50,2,5,4,5,3,1,5,4,4,NV
60030,0,2,1,5,2,1,0,0,1,4,FL
60031,33,2,1,5,2,2,1,1,2,3,WV
60032,55,2,1,5,1,1,0,9,4,9,MA
60033,28,2,1,5,1,2,2,4,3,5,OH
60034,34,2,1,1,1,3,0,7,4,5,VA
60035,24,2,1,5,1,1,2,7,4,2,AZ
60036,26,2,1,1,1,3,2,7,4,7,OK
60037,75,1,1,5,5,3,1,2,4,3,OH
60038,61,1,4,5,2,3,2,7,1,5,HI
60039,80,2,1,1,1,3,2,2,4,6,TX
60040,58,1,1,5,2,3,1,7,2,3,MA
60041,50,2,5,5,5,3,1,7,3,4,GA
60042,76,2,1,5,5,3,1,3,4,3,SC
60043,80,2,1,1,2,2,1,2,1,4,WA
60044,48,2,6,3,5,2,0,9,4,2,PA
60045,61,2,1,5,2,1,0,9,1,3,PA
60046,45,2,1,5,5,3,1,4,4,2,CA
60047,37,2,1,1,1,3,2,5,4,6,ID
60048,36,1,1,1,1,3,2,2,4,6,IN
60049,80,2,1,3,5,3,1,2,4,2,PA
60050,66,2,1,4,1,2,2,9,4,7,MD
60051,80,2,1,1,2,3,2,1,2,5,MA
60052,66,1,4,2,2,2,2,2,2,6,KS
60053,60,2,1,5,1,2,1,7,3,4,PA
60054,34,1,1,4,1,3,2,5,4,6,NY
60055,80,1,3,5,1,3,2,9,4,6,CA
60056,71,1,1,5,5,2,0,7,3,4,IL
60057,72,1,1,3,1,3,2,7,4,6,OH
60058,57,1,1,1,1,2,2,2,3,3,IL
60059,36,2,5,3,1,3,2,7,4,4,MA
60060,61,2,2,3,5,2,1,7,4,4,NC
60061,58,1,4,1,1,3,2,7,4,6,NY
60062,30,1,2,4,2,2,1,2,2,9,PA
60063,80,1,1,5,1,3,2,1,3,6,AZ
60064,0,1,9,3,1,3,2,5,4,6,FL
60065,72,1,5,5,5,2,1,3,4,9,CO
60066,38,1,5,2,5,3,1,9,4,1,AL
60067,60,1,1,5,1,2,0,1,3,9,MI
60068,52,2,2,2,2,2,0,6,1,5,VA
60069,40,2,1,5,2,2,0,1,1,4,TN
60070,23,2,1,5,5,2,1,7,4,2,OR
60071,54,1,1,3,1,3,2,7,4,6,WI
60072,70,2,1,5,5,3,1,7,4,3,AZ
60073,23,2,5,5,2,1,0,7,1,9,CA
60074,66,1,2,5,2,2,1,5,2,2,PA
60075,60,1,1,2,1,2,2,1,4,6,MO
60076,50,2,1,2,2,3,2,7,2,6,GA
60077,62,1,1,2,1,3,2,7,4,6,MD
60078,37,2,1,5,2,3,1,3,1,2,AZ
60079,73,2,1,2,2,3,1,6,1,6,NH
60080,52,1,1,2,1,3,1,7,3,5,OH
60081,76,2,1,2,1,3,2,6,4,7,AZ
60082,73,1,1,5,2,2,1,7,1,5,AZ
60083,42,2,1,5,2,1,3,1,2,3,NY
60084,67,1,1,1,2,2,2,1,1,4,LA
60085,64,1,1,5,5,3,1,5,4,4,MN
60086,55,2,1,4,5,1,2,4,3,9,IL
60087,29,2,2,5,2,2,1,4,2,2,NC
60088,34,2,2,4,5,3,1,3,4,6,NJ
60089,45,2,1,5,2,2,0,5,2,4,NH
60090,40,1,4,5,5,3,1,3,3,1,MA
60091,28,1,1,2,2,2,0,9,2,4,TX
60092,49,1,5,5,5,2,1,3,3,4,NY
60093,37,1,1,5,5,2,1,6,4,2,MI
60094,80,2,1,1,1,3,2,2,4,6,AR
60095,55,2,3,5,5,1,0,9,3,3,VA
60096,80,2,1,4,1,3,2,0,3,3,NC
60097,63,2,6,1,5,2,0,9,4,9,NC
60098,66,2,1,2,2,3,2,5,2,6,SC
60099,55,1,1,5,1,2,0,3,3,5,PA
60100,65,1,1,1,1,3,2,4,3,6,IL
60101,69,2,1,5,5,3,1,7,4,2,TN
60102,70,2,1,5,1,3,2,2,4,7,LA
60103,64,1,1,5,1,2,0,2,4,9,FL
60104,62,1,1,4,1,2,2,9,4,7,KY
60105,50,1,1,1,1,3,2,4,3,6,NY
60106,46,2,2,5,5,2,0,2,4,9,KS
60107,67,2,6,1,5,3,1,7,4,2,NC
60108,43,2,1,5,5,3,0,9,4,2,NC
60109,30,1,1,5,2,3,1,7,2,2,CT
60110,80,1,1,2,1,1,2,2,4,6,MO
60111,58,2,1,5,5,3,0,7,4,4,KY
60112,29,1,1,5,2,3,3,0,1,4,VA
60113,71,1,1,4,5,2,1,9,4,4,MO
60114,69,1,1,5,1,2,2,4,4,6,NH
60115,80,1,1,4,5,3,1,9,4,2,CA
60116,28,1,1,5,5,3,1,6,3,2,MA
60117,22,2,5,3,5,2,0,9,3,9,TX
60118,72,2,1,2,5,3,1,7,4,2,IL
60119,63,1,1,3,2,3,1,1,1,4,AZ
60120,64,2,1,1,2,2,0,9,2,4,TN
60121,61,2,1,5,5,3,0,7,4,1,OH
60122,60,1,5,5,1,3,2,9,4,9,KY
60123,48,1,1,1,1,1,2,3,4,6,AL
60124,69,2,1,4,1,3,2,6,4,6,RI
60125,80,2,1,5,1,3,2,4,4,4,NJ
60126,77,2,1,2,2,2,2,5,2,6,TX
60127,48,2,2,5,5,3,1,7,3,4,MD
60128,47,2,2,5,5,3,1,7,4,3,OH
60129,43,1,1,2,4,3,0,9,1,9,CA
60130,71,2,5,5,5,1,1,1,4,9,PA
60131,31,1,5,5,5,2,0,1,3,3,TX
60132,78,2,1,1,5,3,1,7,4,2,CA
60133,76,2,2,5,5,3,1,7,4,4,CA
60134,46,2,1,3,2,2,2,4,2,6,FL
60135,31,2,1,5,2,1,0,2,2,9,OH
60136,29,2,2,4,2,1,1,7,1,4,KS
60137,69,2,5,2,5,2,1,2,4,6,CA
60138,34,2,1,5,5,1,0,4,3,1,TX
60139,23,1,1,5,1,1,2,1,3,9,FL
60140,61,1,1,4,2,1,1,7,2,9,MD
60141,57,1,1,5,5,3,1,7,4,2,DC
60142,33,2,1,2,1,1,2,5,4,7,TN
60143,0,2,1,5,2,1,2,3,2,4,CA
60144,71,1,1,4,5,3,0,2,4,3,CA
60145,50,1,1,5,1,3,2,5,4,6,FL
60146,71,2,1,2,2,2,0,1,1,4,KS
60147,70,2,1,4,2,2,0,1,1,4,IN
60148,22,1,5,5,2,2,0,2,1,5,TX
60149,24,1,5,3,2,1,0,0,2,3,TX
60150,40,2,2,5,5,2,0,2,4,9,NJ
60151,49,1,1,5,2,2,1,4,2,2,ID
60152,56,2,1,1,5,3,1,1,4,4,CA
60153,59,1,5,1,2,3,0,1,2,6,FL
60154,63,1,1,3,1,3,2,2,4,7,FL
60155,73,1,1,5,5,3,1,7,4,2,OR
60156,56,2,1,2,5,3,1,7,4,3,MN
60157,41,1,1,5,1,3,2,2,3,4,MI
60158,48,2,1,5,2,1,2,1,2,9,CA
60159,80,2,1,2,1,3,2,2,4,9,KY
60160,36,2,2,5,4,3,0,9,1,1,AZ
60161,64,2,6,5,1,3,2,1,3,4,TX
60162,28,1,1,3,1,1,2,1,3,6,WI
60163,21,1,1,5,2,3,0,9,2,3,CA
60164,61,1,1,5,1,2,2,5,3,5,IL
60165,65,1,1,5,5,3,1,4,4,2,PA
60166,35,2,1,5,1,1,2,9,4,5,MO
60167,31,1,1,5,2,2,1,4,2,9,IN
60168,24,2,6,2,2,1,0,9,1,9,AZ
60169,37,2,1,4,2,2,0,2,1,4,AR
60170,53,1,1,4,2,3,2,5,2,4,PA
60171,34,2,1,2,2,2,1,2,2,2,OR
60172,60,1,3,5,2,3,1,3,2,4,TX
60173,66,1,1,2,1,3,1,1,3,4,VA
60174,70,1,1,4,1,3,2,7,4,9,FL
60175,51,2,1,5,5,3,1,2,3,4,CT
60176,44,2,1,5,5,2,1,7,4,4,MI
60177,60,2,2,1,5,2,1,4,4,4,GA
60178,34,1,4,4,1,3,0,9,4,7,VA
60179,53,1,1,3,1,3,2,3,4,6,VA
60180,37,2,1,5,5,3,1,7,4,2,NY
60181,56,2,1,5,2,2,0,9,1,4,CA
60182,46,2,1,4,5,2,0,3,3,2,NE
60183,38,2,3,5,5,2,1,9,3,3,CA
60184,63,2,6,4,2,3,1,3,1,3,NH
60185,29,1,1,5,5,1,1,5,4,2,NV
60186,41,1,5,2,5,2,0,9,3,9,NM
60187,54,1,1,3,2,2,3,5,1,4,MD
60188,79,2,1,1,1,3,2,7,4,7,CA
60189,31,2,1,3,5,2,0,2,4,4,TN
60190,50,1,1,5,1,3,2,3,4,6,AZ
60191,64,2,1,4,5,3,1,7,4,2,NY
60192,80,2,1,3,5,2,1,4,4,5,FL
60193,60,1,1,5,5,3,1,3,4,4,WI
60194,28,2,5,1,5,3,0,9,4,3,CA
60195,46,2,5,4,5,2,1,1,3,9,FL
60196,66,2,1,5,5,3,1,0,4,2,AZ
60197,63,1,2,5,1,3,0,9,3,9,MD
60198,38,2,1,3,2,2,3,9,1,4,CA
60199,59,2,1,5,1,3,2,3,3,6,TX
60200,64,1,1,5,4,3,3,7,2,6,CA
60201,72,1,1,4,1,3,2,7,4,7,OH
60202,68,1,1,5,2,3,1,7,2,1,WA
60203,28,2,1,5,5,2,0,1,3,4,FL
60204,27,1,1,5,5,1,1,3,3,2,IL
60205,62,2,1,5,5,3,1,7,4,2,MD
60206,70,1,1,5,1,2,2,0,3,5,TX
60207,29,2,1,5,5,2,1,6,4,2,CO
60208,62,1,2,4,5,3,1,2,4,9,NY
60209,60,2,1,4,2,2,3,0,1,9,PA
60210,69,2,1,5,2,3,2,7,2,6,NC
60211,58,0,1,5,5,3,1,7,4,4,CA
60212,47,2,1,3,1,3,2,7,4,5,GA
60213,53,2,1,1,1,3,2,2,4,4,MO
60214,72,1,1,4,2,2,1,2,2,9,FL
60215,35,2,1,5,5,3,1,5,4,2,KY
60216,62,2,1,2,1,2,2,5,4,7,MI
60217,73,2,1,5,5,3,0,4,4,2,CA
60218,28,1,1,3,1,3,0,7,4,7,IN
60219,57,2,1,5,1,3,2,3,3,4,PA
60220,29,1,1,2,5,2,0,7,3,5,KY
60221,39,1,1,4,2,3,2,2,1,3,IN
60222,55,2,6,5,5,2,1,9,4,2,WA
60223,42,2,1,3,2,3,3,4,1,4,OH
60224,67,2,1,2,1,3,2,0,4,7,PA
60225,58,1,1,4,2,3,2,1,2,6,CA
60226,67,1,1,2,1,2,2,9,4,6,KS
60227,58,2,1,2,1,3,2,4,4,7,IN
60228,25,1,1,5,5,3,1,7,3,2,IL
60229,73,2,2,5,5,1,1,9,3,2,AZ
60230,30,2,2,4,5,1,1,5,3,9,TX
60231,38,1,1,4,1,2,2,3,4,7,AL
60232,64,2,1,4,1,3,0,9,4,6,TX
60233,40,2,1,5,5,3,1,7,3,3,TX
60234,0,2,1,5,2,1,2,4,1,5,GA
60235,51,1,1,2,2,2,2,3,2,6,TX
60236,61,1,1,5,2,2,1,9,1,9,WA
60237,59,1,2,5,5,3,1,7,4,2,FL
60238,58,2,5,3,2,3,1,7,2,4,WI
60239,53,1,4,1,2,1,0,3,1,6,IN
60240,75,2,1,5,5,3,1,9,4,4,MI
60241,37,2,1,5,5,2,1,6,3,3,MI
60242,77,1,1,5,2,2,2,2,2,6,NC
60243,0,2,1,1,9,1,0,9,1,9,GA
60244,68,2,1,1,2,3,2,4,2,7,CT
60245,66,1,1,5,5,2,2,6,3,9,PA
60246,43,2,2,1,2,2,0,9,1,9,MI
60247,72,1,1,9,2,2,2,3,2,4,NJ
60248,50,2,1,4,1,2,2,7,3,5,NJ
60249,58,2,1,5,5,3,1,7,4,2,VT
60250,28,1,1,5,5,2,0,1,3,3,KY
60251,59,2,1,5,2,2,1,1,2,4,MI
60252,72,2,1,2,1,3,2,4,4,7,WI
60253,29,2,1,5,2,2,1,3,2,3,FL
60254,60,1,5,2,5,3,1,9,4,2,IL
60255,66,1,1,4,2,3,1,7,2,4,OH
60256,56,1,1,3,5,3,1,5,4,2,WI
60257,40,1,6,1,1,2,2,4,4,6,MD
60258,45,2,1,5,1,2,2,2,3,5,FL
60259,51,2,1,3,2,3,2,7,2,6,CA
60260,68,2,1,5,5,3,1,5,4,4,WA
60261,22,1,1,4,1,2,0,5,3,5,NJ
60262,40,2,1,5,1,3,2,6,4,5,AZ
60263,63,2,1,2,2,3,1,4,2,3,KS
60264,59,2,1,5,5,3,1,7,4,2,MD
60265,53,2,5,1,5,3,1,9,4,6,MD
60266,80,1,1,5,5,2,1,9,4,9,OR
60267,67,2,1,4,1,3,2,7,4,7,NE
60268,35,1,1,4,2,1,0,9,1,9,PA
60269,69,1,1,5,5,2,1,7,3,4,WA
60270,80,2,1,5,5,3,1,1,4,6,AZ
60271,62,1,1,2,1,3,2,5,4,7,IN
60272,38,2,1,4,1,1,0,1,4,9,MI
60273,71,2,1,4,1,3,2,4,4,9,MI
60274,80,1,1,5,1,2,2,1,4,6,GA
60275,61,2,1,4,5,3,1,7,3,4,NY
60276,65,1,1,2,1,3,2,7,4,6,TX
60277,30,1,1,5,2,1,0,1,1,9,IL
60278,38,2,6,2,1,3,3,3,4,9,NC
60279,80,2,1,5,2,3,0,9,2,9,CT
60280,80,1,1,5,5,3,1,7,3,2,PA
60281,0,2,1,1,1,3,2,1,3,5,NC
60282,65,2,1,5,2,1,2,9,2,6,NY
60283,48,1,1,5,5,3,1,7,3,2,NH
60284,38,2,1,5,5,2,1,4,4,1,IN
60285,0,1,1,5,2,3,1,4,2,5,NY
60286,67,2,1,5,5,2,1,6,3,3,MN
60287,80,2,2,1,2,2,1,1,2,9,TN
60288,33,2,1,5,4,3,0,1,2,4,CA
60289,76,2,1,1,1,3,2,4,4,6,IN
60290,43,2,2,1,5,3,0,9,4,9,MI
60291,32,2,2,5,5,3,1,1,4,2,MA
60292,41,2,1,5,1,3,0,2,3,6,NC
60293,80,1,1,2,4,3,2,3,2,7,NY
60294,45,2,2,2,5,2,1,3,4,3,TX
60295,56,2,1,5,5,3,1,7,4,2,NJ
60296,68,1,1,2,2,3,2,9,2,4,MD
60297,73,1,1,5,1,3,1,7,3,4,WA
60298,69,2,1,5,2,3,1,7,1,4,AZ
60299,73,2,1,5,5,2,1,1,4,3,VT
60300,43,1,1,4,1,3,2,2,4,6,FL
60301,48,1,5,2,2,1,0,9,1,4,TX
60302,62,2,4,4,2,3,2,5,1,4,AZ
60303,41,1,1,2,5,2,1,2,3,3,MN
60304,20,1,5,2,5,2,0,7,4,4,CA
60305,63,2,1,5,1,2,2,3,4,6,MN
60306,34,2,1,5,5,1,1,9,3,4,KS
60307,80,2,3,9,5,2,0,9,3,9,CA
60308,76,1,1,5,1,2,2,0,4,6,CA
60309,44,1,1,5,1,2,2,0,4,7,NC
60310,51,2,6,4,2,3,0,9,2,3,OH
60311,69,2,1,5,5,3,1,3,4,3,FL
60312,27,1,1,1,1,2,2,7,4,6,PA
60313,48,2,1,1,1,1,0,7,4,6,IL
60314,74,2,1,5,2,3,1,2,2,4,CO
60315,72,2,1,5,2,3,1,2,1,5,SC
60316,60,2,1,5,1,2,2,3,4,6,NM
60317,32,1,1,5,5,3,1,5,4,2,CO
60318,70,2,1,4,1,3,3,1,4,5,CA
60319,50,1,1,3,2,2,2,5,2,6,CO
60320,59,1,1,5,5,2,1,1,4,9,PA
60321,52,1,1,5,2,2,1,7,1,5,CA
60322,67,2,1,5,1,3,2,9,3,5,IL
60323,60,2,1,5,2,3,2,7,2,5,NJ
60324,24,1,1,5,5,1,1,2,3,3,OH
60325,31,1,5,5,1,2,0,3,4,3,CA
60326,39,1,1,1,1,3,2,3,4,6,IN
60327,73,1,3,5,2,2,1,1,2,4,CA
60328,43,2,6,1,5,2,0,2,4,9,OH
60329,28,1,1,5,1,3,1,2,3,6,OK
60330,70,1,1,2,2,3,1,7,2,3,MA
60331,72,1,1,5,5,2,1,7,4,2,TX
60332,59,1,5,5,5,2,1,1,3,3,TX
60333,35,1,1,5,2,2,0,9,1,9,FL
60334,26,2,1,1,1,1,2,1,4,7,AL
60335,80,2,1,1,5,3,1,5,4,4,KS
60336,76,2,1,5,2,3,1,7,2,4,MD
60337,31,1,1,5,2,2,1,3,2,9,MI
60338,24,1,5,5,2,2,3,7,1,4,MT
60339,53,1,1,1,5,3,1,1,4,2,MD
60340,55,2,2,5,5,3,1,2,4,4,IL
60341,39,2,3,5,5,3,1,3,4,1,NY
60342,32,1,4,2,5,2,1,0,3,9,IL
60343,80,2,1,1,2,1,2,9,2,9,MN
60344,45,1,5,4,5,1,0,9,3,9,TX
60345,40,1,1,4,1,2,2,3,4,7,WV
60346,64,1,1,5,4,3,0,9,1,9,OH
60347,40,2,1,5,5,3,1,7,4,3,MA
60348,52,1,1,5,5,3,1,4,4,3,CA
60349,67,2,1,5,5,3,1,1,4,2,AZ
60350,72,1,1,5,5,3,1,7,4,3,AZ
60351,0,1,1,1,1,2,2,6,4,7,AL
60352,79,1,1,5,1,3,2,2,4,9,OH
60353,67,2,1,1,5,3,1,4,4,3,PA
60354,24,1,5,5,2,3,1,2,2,3,FL
60355,43,2,4,5,5,1,1,1,3,1,NJ
60356,52,2,1,5,5,3,1,7,3,6,FL
60357,0,2,1,9,1,3,2,7,4,7,PA
60358,62,1,5,1,5,3,1,9,4,2,CA
60359,50,1,3,1,1,1,2,2,3,6,IL
60360,28,1,1,3,2,2,2,2,1,9,OH
60361,62,1,1,4,1,3,2,1,4,6,FL
60362,73,2,1,2,1,3,2,7,4,6,GA
60363,33,1,1,5,1,2,0,6,4,6,SC
60364,42,2,1,5,5,3,1,1,4,3,MI
60365,36,1,1,3,2,2,1,2,2,2,NH
60366,41,2,5,5,5,1,0,2,3,5,TX
60367,51,2,2,4,5,3,1,9,4,9,CA
60368,30,2,1,4,2,1,2,9,2,4,PA
60369,0,2,2,2,5,3,1,6,4,9,CT
60370,48,1,1,2,1,1,0,9,3,7,ID
60371,66,2,4,2,2,1,2,9,2,5,ID
60372,80,2,5,1,5,1,1,1,4,7,TX
60373,49,2,1,2,4,2,2,1,1,5,MT
60374,30,2,1,5,2,2,2,7,2,6,AR
60375,70,2,3,1,5,3,1,7,4,3,WI
60376,65,1,1,1,5,3,1,7,4,2,TX
60377,57,2,1,3,5,3,1,2,4,4,IN
60378,71,2,1,4,5,3,1,1,4,2,IN
60379,31,2,6,5,2,3,0,9,2,2,TX
60380,40,2,5,5,2,3,1,7,2,9,FL
60381,66,1,1,4,1,3,2,5,4,9,PA
60382,45,2,2,5,5,2,1,9,3,9,NY
60383,68,2,1,4,1,3,2,5,4,4,TN
60384,76,2,2,1,5,3,1,7,4,9,SC
60385,80,2,1,2,1,3,0,9,3,9,AR
60386,34,2,1,2,4,3,0,9,2,6,CA
60387,44,2,1,3,1,2,2,9,4,6,AL
60388,70,1,1,2,1,3,1,3,3,4,ID
60389,0,2,6,4,5,1,1,9,3,3,NY
60390,71,1,1,1,1,2,2,2,4,6,KS
60391,37,2,2,3,2,2,1,9,2,9,FL
60392,31,1,1,3,1,2,2,9,3,6,VA
60393,61,2,5,1,2,3,2,9,1,5,TX
60394,43,1,1,3,2,3,2,5,2,7,NC
60395,53,2,1,5,2,3,1,6,1,4,TX
60396,73,2,1,2,5,2,2,3,3,4,OH
60397,38,2,1,2,1,3,2,7,4,7,ID
60398,73,2,1,5,2,2,1,7,2,2,VA
60399,31,2,1,5,2,1,0,9,1,9,ME
60400,69,2,1,5,2,3,2,2,2,6,KS
60401,0,2,1,2,2,2,1,1,1,5,ID
60402,45,2,1,5,5,2,1,0,3,5,WA
60403,41,2,2,5,2,3,1,7,1,9,DC
60404,66,1,1,2,1,3,2,6,4,6,MD
60405,41,1,1,5,2,3,0,2,2,1,CA
60406,62,2,1,5,5,3,1,2,3,9,PA
60407,31,1,6,4,4,3,0,7,2,4,MA
60408,80,2,1,5,1,3,2,3,4,6,TX
60409,46,2,1,4,1,3,2,5,4,7,WI
60410,70,1,1,1,1,3,2,3,4,7,UT
60411,21,2,5,3,5,2,0,3,3,4,CA
60412,77,2,1,4,1,3,0,4,4,6,FL
60413,66,1,4,1,2,3,2,6,2,6,FL
60414,33,2,1,1,5,1,3,1,3,9,OH
60415,46,1,1,5,5,3,1,7,4,2,MI
60416,36,2,2,5,4,1,0,9,1,9,KS
60417,68,2,3,4,2,2,0,3,1,9,FL
60418,71,2,2,9,1,3,0,0,3,9,CA
60419,37,1,1,1,1,2,2,5,4,4,UT
60420,30,1,2,3,2,3,2,7,2,6,TX
60421,79,1,1,5,2,3,1,5,1,4,NH
60422,78,1,6,3,2,3,1,7,2,2,IL
60423,47,1,3,5,2,2,1,3,1,5,NJ
60424,72,2,1,5,5,3,1,0,4,2,WA
60425,71,2,1,5,5,3,1,7,4,9,NY
60426,36,1,1,5,2,2,2,1,2,5,GA
60427,35,1,1,5,2,2,1,7,2,5,CO
60428,56,2,5,2,5,2,1,1,3,9,CA
60429,64,1,1,5,2,3,3,5,2,4,OH
60430,41,1,1,5,2,1,0,6,1,3,OK
60431,50,1,1,5,2,3,1,7,1,4,GA
60432,77,2,1,1,1,3,0,9,4,7,NM
60433,0,2,6,5,1,3,2,4,3,4,MD
60434,31,2,1,5,1,2,2,3,4,7,WV
60435,61,1,1,5,2,3,1,5,2,3,IA
60436,62,2,1,5,5,3,1,7,4,2,OR
60437,57,1,1,5,1,1,2,7,4,6,AZ
60438,63,1,1,5,2,2,1,2,2,3,TX
60439,75,1,1,5,5,2,1,1,3,9,KS
60440,52,2,1,5,1,3,0,6,3,5,KY
60441,64,2,6,1,2,3,1,7,2,3,TN
60442,41,1,5,3,2,2,2,4,2,5,AZ
60443,51,1,1,3,1,3,2,3,4,6,TN
60444,45,1,1,5,1,3,2,2,4,6,MT
60445,68,2,5,5,5,3,1,7,4,4,CO
60446,73,1,1,4,1,2,2,3,4,6,PA
60447,65,1,1,3,1,2,2,0,3,5,FL
60448,52,1,1,1,1,3,0,9,4,7,NC
60449,64,1,5,5,1,3,2,2,4,9,CA
60450,71,1,1,5,1,3,2,7,4,6,GA
60451,38,2,4,3,1,3,2,3,3,4,OK
60452,24,2,1,2,2,2,1,1,1,3,TX
60453,66,2,2,5,1,3,0,9,4,4,OH
60454,50,2,2,4,5,3,0,9,4,9,AR
60455,49,1,1,5,2,3,1,7,2,1,TX
60456,40,2,3,4,2,2,1,2,2,2,AZ
60457,73,1,1,5,1,3,2,2,4,7,IA
60458,65,1,1,5,2,1,0,9,1,4,KS
60459,34,2,1,2,2,2,0,3,2,4,TN
60460,53,2,1,5,5,3,1,6,3,3,CA
60461,39,2,1,2,5,1,1,3,4,3,WI
60462,71,1,1,5,2,2,1,2,1,3,ND
60463,33,2,5,1,2,2,0,1,1,5,TX
60464,34,1,1,5,5,2,1,7,4,2,GA
60465,59,2,1,4,1,1,2,5,4,6,TX
60466,72,2,1,5,5,3,2,2,3,9,GA
60467,52,2,1,4,5,2,1,9,3,3,NY
60468,53,1,1,5,1,3,0,6,4,7,SC
60469,35,1,1,4,1,2,1,1,3,4,CA
60470,68,2,1,2,1,3,2,3,4,5,NM
60471,54,1,3,5,1,3,2,1,4,3,MA
60472,74,2,1,5,5,2,1,9,4,9,MI
60473,67,2,1,1,1,3,2,6,4,6,MA
60474,46,1,1,2,1,2,2,1,3,5,MN
