responseID,VCF0101,VCF0104,VCF0105a,VCF0110,VCF0114,VCF0127,VCF0128,VCF0130,VCF0140,VCF0143,VCF0146,VCF0147,VCF0901b,VCF0302,VCF0310,VCF0733,VCF0849,VCF0705,VCF0305
59986,48,1,1,4,3,2,1,5,6,1,9,3,NM,1,3,4,5,2,4
59987,53,2,1,4,4,2,1,5,6,1,9,1,KS,1,3,7,5,2,4
59988,72,2,1,3,5,2,4,5,5,1,1,3,CA,2,2,1,1,2,2
59989,55,1,1,2,1,2,1,5,3,1,9,1,MO,1,2,5,5,2,4
59990,79,1,1,3,3,1,2,1,4,1,9,5,PA,5,3,6,1,1,4
59991,38,1,1,4,4,2,4,5,6,1,1,1,MN,2,2,3,1,1,2
59992,42,2,3,4,3,1,1,1,6,5,9,2,CA,1,2,3,1,2,4
59993,70,1,1,4,3,2,2,4,6,1,9,1,MO,2,3,4,5,1,2
59994,50,2,4,3,0,2,4,1,4,1,1,8,TX,5,3,5,5,1,4
59995,50,2,2,4,3,2,4,5,6,1,9,2,VA,5,3,2,1,1,4
59996,27,2,1,1,1,2,1,4,2,1,9,1,OH,2,2,9,1,0,1
59997,62,1,1,2,1,2,1,1,3,1,1,2,KY,1,2,9,5,0,4
59998,51,2,9,3,0,2,2,1,5,1,1,1,PA,2,3,9,5,3,1
59999,60,1,1,3,3,2,1,5,5,1,1,1,AZ,1,2,9,5,0,4
60000,65,2,1,4,3,2,2,1,6,1,9,3,GA,5,3,3,1,1,4
60001,0,1,1,4,4,2,3,4,6,5,2,2,NY,2,3,7,1,1,2
60002,48,1,1,2,3,2,4,4,3,1,2,7,OH,1,2,3,5,1,3
60003,55,1,1,2,3,2,1,5,3,1,2,1,TX,2,2,3,5,2,2
60004,54,1,1,4,4,2,2,3,6,1,1,1,IL,2,1,7,5,1,1
60005,38,2,1,4,3,2,4,5,6,1,1,1,MT,5,2,5,1,0,3
60006,80,1,1,4,3,2,2,1,6,1,9,1,TN,5,3,7,1,1,4
60007,37,2,6,4,3,1,4,5,6,1,9,1,LA,5,3,7,1,1,3
60008,38,1,1,4,5,2,2,5,6,5,9,1,NJ,2,2,5,1,1,2
60009,60,1,1,3,3,2,1,5,4,5,9,1,CA,2,3,2,1,1,2
60010,46,1,6,3,3,1,4,3,5,5,9,3,CA,2,2,7,5,1,2
60011,78,2,1,4,4,1,4,5,6,1,9,1,CA,5,3,7,1,2,4
60012,39,2,1,4,3,2,4,2,6,1,1,1,CO,5,2,7,1,1,4
60013,33,2,2,4,3,2,1,5,6,1,2,2,IL,5,2,7,1,1,3
60014,74,2,1,4,1,2,4,5,6,1,9,3,CA,5,3,1,1,1,4
60015,61,2,1,3,3,2,2,5,4,1,1,5,MN,5,3,7,1,1,3
60016,67,2,1,3,2,2,1,5,5,1,9,3,MN,5,3,0,5,1,4
60017,60,2,1,2,3,2,1,5,3,1,9,7,PA,5,3,1,5,1,3
60018,0,1,1,3,4,2,2,5,5,1,1,1,PA,1,3,4,5,2,4
60019,21,1,2,3,2,2,4,5,5,5,2,2,IN,2,2,9,5,0,1
60020,49,2,2,1,1,2,2,4,2,1,2,1,NY,5,2,5,1,0,4
60021,80,1,1,4,3,1,4,5,6,1,9,1,PA,5,3,9,1,1,4
60022,70,1,1,3,2,2,3,5,5,1,1,1,FL,2,1,1,5,2,2
60023,70,2,1,2,2,2,1,5,3,5,1,5,TX,5,2,5,5,1,4
60024,72,1,1,4,4,2,1,1,6,1,9,1,OK,2,2,1,5,2,2
60025,78,2,1,3,3,2,1,1,5,1,9,1,AZ,1,3,7,5,2,4
60026,43,2,1,4,3,2,4,2,6,1,1,3,DE,5,2,3,1,1,4
60027,45,2,2,3,1,2,1,3,5,1,9,2,DC,2,3,3,1,0,1
60028,44,2,1,4,4,2,1,3,6,1,1,1,IN,5,2,4,1,1,3
60029,50,2,5,3,2,2,4,4,4,1,9,2,NV,5,3,5,1,1,4
60030,0,2,1,4,0,2,4,5,6,1,1,1,FL,2,1,0,5,0,1
60031,33,2,1,4,3,2,2,5,6,1,9,1,WV,2,2,1,1,1,2
60032,55,2,1,2,3,1,2,5,3,1,1,1,MA,1,1,9,5,0,4
60033,28,2,1,4,4,2,1,5,6,1,9,1,OH,1,2,4,5,2,3
60034,34,2,1,4,5,2,1,1,6,1,9,7,VA,1,3,7,5,0,4
60035,24,2,1,4,4,2,4,5,6,1,9,7,AZ,1,1,7,1,2,4
60036,26,2,1,3,1,2,1,1,4,1,2,3,OK,1,3,7,5,2,4
60037,75,1,1,2,2,2,1,5,3,1,9,5,OH,5,3,2,1,1,4
60038,61,1,4,4,3,1,4,5,6,1,9,1,HI,2,3,7,5,2,1
60039,80,2,1,4,5,2,1,1,6,1,9,5,TX,1,3,2,5,2,4
60040,58,1,1,3,4,2,4,5,5,1,1,1,MA,2,3,7,1,1,2
60041,50,2,5,4,3,2,2,5,6,1,2,2,GA,5,3,7,1,1,3
60042,76,2,1,4,2,2,1,5,6,5,9,5,SC,5,3,3,1,1,4
60043,80,2,1,3,3,2,1,1,5,1,1,5,WA,2,2,2,1,1,1
60044,48,2,6,2,1,2,3,3,3,1,1,2,PA,5,2,9,1,0,4
60045,61,2,1,2,4,2,2,5,3,1,9,1,PA,2,1,9,1,0,1
60046,45,2,1,4,4,1,4,5,6,1,9,3,CA,5,3,4,1,1,4
60047,37,2,1,3,2,2,4,1,4,1,1,1,ID,1,3,5,5,2,4
60048,36,1,1,4,4,2,1,1,6,1,9,1,IN,1,3,2,5,2,4
60049,80,2,1,1,1,1,2,3,2,5,2,5,PA,5,3,2,1,1,4
60050,66,2,1,2,1,2,1,4,3,1,1,2,MD,1,2,9,5,2,4
60051,80,2,1,2,3,2,2,1,3,1,1,1,MA,2,3,1,5,2,2
60052,66,1,4,3,4,2,1,2,5,1,1,1,KS,2,2,2,5,2,2
60053,60,2,1,3,4,2,1,5,5,1,1,1,PA,1,2,7,5,1,3
60054,34,1,1,0,4,1,2,4,9,1,1,1,NY,1,3,5,5,2,4
60055,80,1,3,4,5,2,4,5,6,5,1,1,CA,1,3,9,5,2,4
60056,71,1,1,2,3,2,2,5,3,1,1,1,IL,5,2,7,6,0,3
60057,72,1,1,3,2,2,1,3,5,1,1,3,OH,1,3,7,5,2,4
60058,57,1,1,4,2,2,2,1,6,5,9,2,IL,1,2,2,1,2,3
60059,36,2,5,4,4,1,2,3,6,5,9,1,MA,1,3,7,5,2,4
60060,61,2,2,3,3,1,1,3,5,1,9,1,NC,5,2,7,1,1,4
60061,58,1,4,4,1,1,2,1,6,1,9,1,NY,1,3,7,5,2,4
60062,30,1,2,3,4,2,4,4,5,1,2,2,PA,2,2,2,1,1,2
60063,80,1,1,4,4,2,1,5,6,1,9,5,AZ,1,3,1,5,2,3
60064,0,1,9,4,0,2,4,3,6,1,1,1,FL,1,3,5,5,2,4
60065,72,1,5,3,2,1,2,5,5,1,1,1,CO,5,2,3,1,1,4
60066,38,1,5,1,1,2,1,2,2,1,2,2,AL,5,3,9,1,1,4
60067,60,1,1,3,2,2,2,5,5,5,9,1,MI,1,2,1,5,0,3
60068,52,2,2,2,1,2,1,2,3,1,2,1,VA,2,2,6,5,0,1
60069,40,2,1,2,2,2,1,5,3,1,1,7,TN,2,2,1,1,0,1
60070,23,2,1,4,2,1,2,5,6,1,9,2,OR,5,2,7,1,1,4
60071,54,1,1,2,4,2,1,3,3,1,1,1,WI,1,3,7,5,2,4
60072,70,2,1,4,3,1,1,5,6,1,1,5,AZ,5,3,7,1,1,4
60073,23,2,5,3,2,2,4,5,5,5,2,7,CA,2,1,7,1,0,1
60074,66,1,2,4,4,1,4,5,6,5,1,1,PA,2,2,5,1,1,2
60075,60,1,1,3,4,2,2,2,5,5,1,1,MO,1,2,1,5,2,4
60076,50,2,1,4,4,2,2,2,6,1,1,1,GA,2,3,7,5,2,2
60077,62,1,1,4,4,2,2,2,6,1,9,1,MD,1,3,7,5,2,4
60078,37,2,1,4,4,2,4,5,6,1,9,1,AZ,2,3,3,1,1,1
60079,73,2,1,2,2,2,4,2,3,1,9,1,NH,2,3,6,5,1,1
60080,52,1,1,4,4,2,4,2,6,1,1,1,OH,1,3,7,5,1,3
60081,76,2,1,4,1,1,1,2,6,1,9,1,AZ,1,3,6,5,2,4
60082,73,1,1,3,1,2,4,5,5,1,2,3,AZ,2,2,7,5,1,1
60083,42,2,1,4,4,2,4,5,6,1,2,7,NY,2,1,1,1,3,2
60084,67,1,1,2,1,2,2,1,3,1,9,1,LA,2,2,1,5,2,1
60085,64,1,1,3,3,1,4,5,4,1,1,1,MN,5,3,5,1,1,4
60086,55,2,1,3,3,2,2,4,4,1,9,1,IL,5,1,4,5,2,3
60087,29,2,2,4,3,2,4,5,6,1,2,7,NC,2,2,4,1,1,2
60088,34,2,2,3,2,2,4,4,5,1,2,2,NJ,5,3,3,5,1,4
60089,45,2,1,4,4,2,4,5,6,1,1,3,NH,2,2,5,1,0,2
60090,40,1,4,4,5,2,4,5,6,5,1,1,MA,5,3,3,1,1,3
60091,28,1,1,3,1,2,4,2,5,1,2,1,TX,2,2,9,5,0,2
60092,49,1,5,3,4,1,2,5,5,1,9,1,NY,5,2,3,1,1,3
60093,37,1,1,4,4,1,1,5,6,1,1,1,MI,5,2,6,1,1,4
60094,80,2,1,3,4,2,1,1,5,5,9,1,AR,1,3,2,5,2,4
60095,55,2,3,2,3,2,2,5,3,5,1,3,VA,5,1,9,1,0,3
60096,80,2,1,1,2,2,1,4,2,1,2,5,NC,1,3,0,1,2,3
60097,63,2,6,4,4,2,1,1,6,1,1,2,NC,5,2,9,1,0,4
60098,66,2,1,3,2,2,1,2,5,1,1,1,SC,2,3,5,5,2,2
60099,55,1,1,4,2,2,1,5,6,1,1,1,PA,1,2,3,5,0,3
60100,65,1,1,3,4,2,4,1,5,1,1,1,IL,1,3,4,5,2,3
60101,69,2,1,4,3,2,4,5,6,1,9,3,TN,5,3,7,1,1,4
60102,70,2,1,2,1,2,1,5,3,1,1,3,LA,1,3,2,5,2,4
60103,64,1,1,2,3,2,2,5,3,1,9,1,FL,1,2,2,5,0,4
60104,62,1,1,2,4,1,1,4,3,1,9,1,KY,1,2,9,5,2,4
60105,50,1,1,4,4,2,3,1,6,1,9,1,NY,1,3,4,5,2,3
60106,46,2,2,2,1,2,4,5,3,1,2,2,KS,5,2,2,5,0,4
60107,67,2,6,0,3,2,1,1,9,9,9,1,NC,5,3,7,1,1,4
60108,43,2,1,3,1,2,4,5,4,1,9,2,NC,5,3,9,1,0,4
60109,30,1,1,4,2,2,4,5,6,1,9,2,CT,2,3,7,1,1,2
60110,80,1,1,2,3,2,1,2,3,1,1,1,MO,1,1,2,5,2,4
60111,58,2,1,2,1,2,1,5,3,1,9,5,KY,5,3,7,1,0,4
60112,29,1,1,3,4,2,4,5,5,1,9,2,VA,2,3,0,5,3,1
60113,71,1,1,3,1,2,2,4,5,1,9,1,MO,5,2,9,5,1,4
60114,69,1,1,4,4,2,4,5,6,1,1,1,NH,1,2,4,5,2,4
60115,80,1,1,4,5,2,3,4,6,1,1,1,CA,5,3,9,1,1,4
60116,28,1,1,4,4,1,2,5,6,5,9,7,MA,5,3,6,1,1,3
60117,22,2,5,4,1,2,4,3,6,5,9,2,TX,5,2,9,1,0,3
60118,72,2,1,4,3,1,4,2,6,1,9,3,IL,5,3,7,1,1,4
60119,63,1,1,4,3,2,1,3,6,1,2,1,AZ,2,3,1,6,1,1
60120,64,2,1,4,5,2,1,1,6,1,1,1,TN,2,2,9,5,0,2
60121,61,2,1,3,1,2,1,5,5,1,9,3,OH,5,3,7,1,0,4
60122,60,1,5,2,1,2,1,5,3,1,9,3,KY,1,3,9,5,2,4
60123,48,1,1,2,3,2,1,1,3,1,9,1,AL,1,1,3,5,2,4
60124,69,2,1,4,3,2,1,4,6,1,1,2,RI,1,3,6,5,2,4
60125,80,2,1,4,0,1,3,5,6,5,9,5,NJ,1,3,4,1,2,4
60126,77,2,1,3,2,2,1,2,5,1,9,5,TX,2,2,5,5,2,2
60127,48,2,2,4,3,2,2,5,6,5,9,7,MD,5,3,7,1,1,3
60128,47,2,2,3,1,2,1,5,5,1,2,4,OH,5,3,7,1,1,4
60129,43,1,1,2,1,2,4,2,3,1,9,2,CA,4,3,9,1,0,1
60130,71,2,5,2,3,1,2,5,3,5,9,3,PA,5,1,1,1,1,4
60131,31,1,5,2,3,2,4,5,3,5,2,2,TX,5,2,1,1,0,3
60132,78,2,1,4,4,2,1,1,6,1,1,1,CA,5,3,7,1,1,4
60133,76,2,2,4,5,2,1,5,6,1,9,5,CA,5,3,7,1,1,4
60134,46,2,1,3,1,2,2,3,5,1,1,1,FL,2,2,4,5,2,2
60135,31,2,1,2,3,2,4,5,3,1,9,2,OH,2,1,2,1,0,2
60136,29,2,2,3,4,2,1,4,5,1,2,7,KS,2,1,7,5,1,1
60137,69,2,5,3,2,2,2,2,4,5,9,5,CA,5,2,2,5,1,4
60138,34,2,1,2,3,2,4,5,3,1,9,7,TX,5,1,4,1,0,3
60139,23,1,1,3,1,2,4,5,5,1,2,2,FL,1,1,1,5,2,3
60140,61,1,1,4,3,2,3,4,6,1,1,1,MD,2,1,7,1,1,2
60141,57,1,1,4,4,1,4,5,6,1,2,1,DC,5,3,7,1,1,4
60142,33,2,1,4,1,2,1,2,6,1,9,1,TN,1,1,5,5,2,4
60143,0,2,1,4,4,2,1,5,6,1,9,1,CA,2,1,3,5,2,2
60144,71,1,1,4,3,2,2,4,6,1,9,3,CA,5,3,2,1,0,4
60145,50,1,1,4,4,2,1,5,6,1,1,1,FL,1,3,5,5,2,4
60146,71,2,1,2,3,2,4,2,3,1,9,1,KS,2,2,1,5,0,1
60147,70,2,1,0,3,2,1,4,9,1,1,3,IN,2,2,1,5,0,1
60148,22,1,5,2,3,2,4,5,3,1,9,7,TX,2,2,2,5,0,1
60149,24,1,5,3,4,2,2,3,5,5,1,2,TX,2,1,0,1,0,2
60150,40,2,2,3,1,2,4,5,5,1,2,2,NJ,5,2,2,1,0,4
60151,49,1,1,4,4,2,4,5,6,1,1,1,ID,2,2,4,1,1,2
60152,56,2,1,4,4,1,1,1,6,1,1,2,CA,5,3,1,1,1,4
60153,59,1,5,2,3,2,1,1,3,5,1,1,FL,2,3,1,5,0,2
60154,63,1,1,3,4,2,1,3,4,1,1,1,FL,1,3,2,5,2,4
60155,73,1,1,4,4,2,4,5,6,1,9,1,OR,5,3,7,1,1,4
60156,56,2,1,4,4,1,1,2,6,1,1,1,MN,5,3,7,1,1,4
60157,41,1,1,4,5,2,1,5,6,1,1,1,MI,1,3,2,5,2,3
60158,48,2,1,3,3,2,4,5,5,1,9,1,CA,2,1,1,5,2,2
60159,80,2,1,1,5,2,1,2,2,5,1,1,KY,1,3,2,5,2,4
60160,36,2,2,3,3,2,4,5,5,1,2,7,AZ,4,3,9,1,0,1
60161,64,2,6,4,3,2,1,5,6,1,9,2,TX,1,3,1,5,2,3
60162,28,1,1,3,4,2,2,3,5,1,9,1,WI,1,1,1,5,2,3
60163,21,1,1,3,1,1,4,5,5,1,9,2,CA,2,3,9,1,0,2
60164,61,1,1,3,3,2,4,5,5,1,9,1,IL,1,2,5,5,2,3
60165,65,1,1,3,1,2,2,5,5,5,9,2,PA,5,3,4,1,1,4
60166,35,2,1,3,3,2,4,5,5,1,1,7,MO,1,1,9,5,2,4
60167,31,1,1,4,3,1,4,5,6,1,9,1,IN,2,2,4,1,1,2
60168,24,2,6,3,2,2,1,2,5,1,9,2,AZ,2,1,9,5,0,1
60169,37,2,1,2,1,2,4,4,3,1,9,4,AR,2,2,2,5,0,1
60170,53,1,1,2,3,2,1,4,3,1,9,1,PA,2,3,5,1,2,2
60171,34,2,1,4,3,2,1,2,6,1,1,1,OR,2,2,2,1,1,2
60172,60,1,3,4,3,2,4,5,6,5,1,3,TX,2,3,3,1,1,2
60173,66,1,1,3,3,2,1,2,4,1,1,1,VA,1,3,1,1,1,3
60174,70,1,1,2,3,1,2,4,3,1,9,1,FL,1,3,7,1,2,4
60175,51,2,1,4,4,2,4,5,6,5,9,3,CT,5,3,2,1,1,3
60176,44,2,1,2,3,2,1,5,3,1,9,2,MI,5,2,7,1,1,4
60177,60,2,2,4,3,2,1,1,6,5,9,1,GA,5,2,4,5,1,4
60178,34,1,4,3,3,2,4,4,5,1,2,1,VA,1,3,9,5,0,4
60179,53,1,1,3,4,2,4,3,5,1,1,2,VA,1,3,3,5,2,4
60180,37,2,1,4,4,2,4,5,6,1,1,1,NY,5,3,7,1,1,4
60181,56,2,1,3,3,2,2,5,5,5,9,3,CA,2,2,9,1,0,1
60182,46,2,1,3,2,2,4,4,5,1,1,2,NE,5,2,3,1,0,3
60183,38,2,3,3,5,1,2,5,5,5,9,1,CA,5,2,9,1,1,3
60184,63,2,6,1,3,2,4,4,2,1,9,3,NH,2,3,3,1,1,1
60185,29,1,1,4,1,2,4,5,6,1,2,2,NV,5,1,5,1,1,4
60186,41,1,5,2,3,2,2,2,3,1,1,1,NM,5,2,9,5,0,3
60187,54,1,1,4,4,2,4,3,6,1,9,1,MD,2,2,5,5,3,1
60188,79,2,1,4,3,2,4,1,6,1,9,1,CA,1,3,7,5,2,4
60189,31,2,1,3,1,2,1,3,5,1,1,2,TN,5,2,2,5,0,4
60190,50,1,1,3,4,2,4,5,4,1,9,1,AZ,1,3,3,5,2,4
60191,64,2,1,4,3,1,4,4,6,1,2,3,NY,5,3,7,1,1,4
60192,80,2,1,0,0,1,1,3,9,1,1,5,FL,5,2,4,5,1,4
60193,60,1,1,4,4,1,4,5,6,1,9,1,WI,5,3,3,1,1,4
60194,28,2,5,4,4,1,1,1,6,5,9,1,CA,5,3,9,1,0,4
60195,46,2,5,2,3,2,4,4,3,1,9,1,FL,5,2,1,5,1,3
60196,66,2,1,4,3,2,1,5,6,1,1,1,AZ,5,3,0,1,1,4
60197,63,1,2,1,1,2,4,5,2,1,2,1,MD,1,3,9,5,0,3
60198,38,2,1,3,1,2,2,3,4,1,2,1,CA,2,2,9,1,3,1
60199,59,2,1,3,2,2,1,5,4,1,2,5,TX,1,3,3,5,2,3
60200,64,1,1,4,3,2,4,5,6,1,9,2,CA,4,3,7,5,3,2
60201,72,1,1,4,1,2,1,4,6,1,2,3,OH,1,3,7,5,2,4
60202,68,1,1,4,1,2,4,5,6,1,9,2,WA,2,3,7,1,1,2
60203,28,2,1,2,2,2,4,5,3,1,2,7,FL,5,2,1,5,0,3
60204,27,1,1,3,3,2,4,5,5,5,9,2,IL,5,1,3,1,1,3
60205,62,2,1,4,4,2,4,5,6,1,1,1,MD,5,3,7,1,1,4
60206,70,1,1,4,3,2,1,5,6,1,9,1,TX,1,2,0,5,2,3
60207,29,2,1,3,2,2,4,5,5,1,2,7,CO,5,2,6,1,1,4
60208,62,1,2,1,3,1,4,4,2,5,9,1,NY,5,3,2,5,1,4
60209,60,2,1,4,4,2,2,4,6,1,9,3,PA,2,2,0,1,3,1
60210,69,2,1,4,4,2,2,5,6,1,1,1,NC,2,3,7,5,2,2
60211,58,0,1,4,4,1,4,5,6,1,1,7,CA,5,3,7,1,1,4
60212,47,2,1,3,3,2,1,3,5,1,9,1,GA,1,3,7,5,2,4
60213,53,2,1,4,3,2,2,1,6,1,2,1,MO,1,3,2,5,2,4
60214,72,1,1,4,3,2,1,4,6,1,2,3,FL,2,2,2,1,1,2
60215,35,2,1,3,1,2,4,5,5,1,2,4,KY,5,3,5,1,1,4
60216,62,2,1,4,2,2,1,2,6,1,1,3,MI,1,2,5,5,2,4
60217,73,2,1,3,4,2,1,5,5,1,9,3,CA,5,3,4,1,0,4
60218,28,1,1,3,3,2,1,3,5,1,2,1,IN,1,3,7,5,0,4
60219,57,2,1,4,4,2,1,5,6,1,1,1,PA,1,3,3,5,2,3
60220,29,1,1,4,4,1,1,2,6,1,9,1,KY,5,2,7,5,0,3
60221,39,1,1,3,2,2,4,4,5,1,9,1,IN,2,3,2,1,2,1
60222,55,2,6,4,3,2,4,5,6,1,9,1,WA,5,2,9,1,1,4
60223,42,2,1,2,1,1,4,3,3,1,1,3,OH,2,3,4,1,3,1
60224,67,2,1,3,3,2,1,2,5,1,9,1,PA,1,3,0,5,2,4
60225,58,1,1,4,5,2,2,4,6,1,1,7,CA,2,3,1,5,2,2
60226,67,1,1,4,3,2,4,2,6,1,9,1,KS,1,2,9,5,2,4
60227,58,2,1,4,0,2,1,2,6,1,9,1,IN,1,3,4,5,2,4
60228,25,1,1,4,3,2,1,5,6,1,9,2,IL,5,3,7,1,1,3
60229,73,2,2,4,2,2,4,5,6,5,2,3,AZ,5,1,9,1,1,3
60230,30,2,2,4,3,2,1,4,6,1,9,2,TX,5,1,5,1,1,3
60231,38,1,1,3,3,2,1,4,5,1,9,1,AL,1,2,3,5,2,4
60232,64,2,1,3,4,2,1,4,4,1,9,1,TX,1,3,9,5,0,4
60233,40,2,1,4,4,2,4,5,6,1,1,1,TX,5,3,7,1,1,3
60234,0,2,1,4,1,1,1,5,6,1,9,7,GA,2,1,4,5,2,1
60235,51,1,1,4,4,1,1,2,6,1,1,1,TX,2,2,3,5,2,2
60236,61,1,1,3,1,2,1,5,5,1,9,7,WA,2,2,9,5,1,1
60237,59,1,2,3,4,1,1,5,5,5,9,1,FL,5,3,7,1,1,4
60238,58,2,5,4,2,2,1,3,6,1,9,2,WI,2,3,7,1,1,2
60239,53,1,4,2,3,1,2,1,3,5,9,2,IN,2,1,3,5,0,1
60240,75,2,1,3,1,2,1,5,5,1,1,5,MI,5,3,9,5,1,4
60241,37,2,1,4,4,2,1,5,6,1,1,1,MI,5,2,6,1,1,3
60242,77,1,1,4,2,2,1,5,6,1,9,1,NC,2,2,2,5,2,2
60243,0,2,1,1,1,2,4,1,2,1,9,3,GA,9,1,9,5,0,1
60244,68,2,1,3,3,1,2,1,5,1,1,1,CT,2,3,4,5,2,2
60245,66,1,1,4,3,2,2,5,6,1,1,1,PA,5,2,6,5,2,3
60246,43,2,2,3,1,2,4,1,5,1,9,3,MI,2,2,9,1,0,1
60247,72,1,1,3,4,2,4,9,5,1,1,1,NJ,2,2,3,5,2,2
60248,50,2,1,4,5,2,2,4,6,1,1,1,NJ,1,2,7,5,2,3
60249,58,2,1,4,2,2,3,5,6,1,1,1,VT,5,3,7,1,1,4
60250,28,1,1,4,3,2,1,5,6,1,9,1,KY,5,2,1,1,0,3
60251,59,2,1,3,3,2,2,5,5,5,9,3,MI,2,2,1,1,1,2
60252,72,2,1,2,4,2,2,2,3,1,9,1,WI,1,3,4,5,2,4
60253,29,2,1,4,1,2,1,5,6,1,2,2,FL,2,2,3,1,1,2
60254,60,1,5,4,3,2,3,2,6,5,1,1,IL,5,3,9,1,1,4
60255,66,1,1,3,3,1,1,4,5,1,9,1,OH,2,3,7,1,1,2
60256,56,1,1,4,3,2,1,3,6,1,9,1,WI,5,3,5,1,1,4
60257,40,1,6,4,4,2,4,1,6,1,9,1,MD,1,2,4,5,2,4
60258,45,2,1,4,1,2,3,5,6,1,1,1,FL,1,2,2,5,2,3
60259,51,2,1,4,3,2,1,3,6,1,9,1,CA,2,3,7,5,2,2
60260,68,2,1,4,3,2,4,5,6,1,9,1,WA,5,3,5,1,1,4
60261,22,1,1,4,4,2,2,4,6,5,1,7,NJ,1,2,5,5,0,3
60262,40,2,1,4,1,2,1,5,6,1,1,1,AZ,1,3,6,5,2,4
60263,63,2,1,3,2,2,1,2,5,1,1,3,KS,2,3,4,1,1,2
60264,59,2,1,4,0,2,4,5,6,1,1,1,MD,5,3,7,1,1,4
60265,53,2,5,2,2,2,4,1,3,5,9,3,MD,5,3,9,5,1,4
60266,80,1,1,2,2,2,4,5,3,1,9,1,OR,5,2,9,5,1,4
60267,67,2,1,3,4,2,2,4,4,1,1,1,NE,1,3,7,5,2,4
60268,35,1,1,4,4,1,2,4,6,1,9,1,PA,2,1,9,5,0,1
60269,69,1,1,3,3,2,4,5,5,1,9,1,WA,5,2,7,1,1,3
60270,80,2,1,4,3,2,1,5,6,1,1,1,AZ,5,3,1,5,1,4
