,VCF0105a,VCF0731,VCF0803,VCF0301,VCF0130,VCF0101,VCF0104,VCF0310,VCF0901b
60102,1,1,7,7,5,70,2,3,LA
60103,1,1,9,7,5,64,1,2,FL
60104,1,5,7,7,4,62,1,2,KY
60105,1,1,6,6,1,50,1,3,NY
60106,2,1,9,1,5,46,2,2,KS
60107,6,1,2,1,1,67,2,3,NC
60108,1,9,2,1,5,43,2,3,NC
60109,1,1,2,3,5,30,1,3,CT
60110,1,1,6,7,2,80,1,1,MO
60111,1,1,4,1,5,58,2,3,KY
60112,1,1,4,4,5,29,1,3,VA
60113,1,5,4,1,4,71,1,2,MO
60114,1,1,6,7,5,69,1,2,NH
60115,1,1,2,1,4,80,1,3,CA
60116,1,1,2,2,5,28,1,3,MA
60117,5,5,9,2,3,22,2,2,TX
60118,1,1,2,1,2,72,2,3,IL
60119,1,1,4,4,3,63,1,3,AZ
60120,1,9,4,3,1,64,2,2,TN
60121,1,1,1,1,5,61,2,3,OH
60122,5,5,9,7,5,60,1,3,KY
60123,1,1,6,7,1,48,1,1,AL
60124,1,1,6,7,4,69,2,3,RI
60125,1,1,4,7,5,80,2,3,NJ
60126,1,1,6,5,2,77,2,2,TX
60127,2,1,4,2,5,48,2,3,MD
60128,2,1,3,1,5,47,2,3,OH
60129,1,9,9,4,2,43,1,3,CA
60130,5,1,9,1,5,71,2,1,PA
60131,5,1,3,2,5,31,1,2,TX
60132,1,1,2,1,1,78,2,3,CA
60133,2,1,4,1,5,76,2,3,CA
60134,1,1,6,5,3,46,2,2,FL
60135,1,1,9,3,5,31,2,1,OH
60136,2,1,4,4,4,29,2,1,KS
60137,5,1,6,1,2,69,2,2,CA
60138,1,1,1,2,5,34,2,1,TX
60139,1,1,9,6,5,23,1,1,FL
60140,1,1,9,3,4,61,1,1,MD
60141,1,1,2,1,5,57,1,3,DC
60142,1,1,7,7,2,33,2,1,TN
60143,1,1,4,5,5,0,2,1,CA
60144,1,1,3,1,4,71,1,3,CA
60145,1,1,6,7,5,50,1,3,FL
60146,1,1,4,4,2,71,2,2,KS
60147,1,1,4,4,4,70,2,2,IN
60148,5,1,5,4,5,22,1,2,TX
60149,5,1,3,5,3,24,1,1,TX
60150,2,1,9,1,5,40,2,2,NJ
60151,1,1,2,3,5,49,1,2,ID
60152,1,1,4,1,1,56,2,3,CA
60153,5,1,6,5,1,59,1,3,FL
60154,1,1,7,7,3,63,1,3,FL
60155,1,1,2,1,5,73,1,3,OR
60156,1,1,3,1,2,56,2,3,MN
60157,1,1,4,6,5,41,1,3,MI
60158,1,1,9,5,5,48,2,1,CA
60159,1,1,9,7,2,80,2,3,KY
60160,2,9,1,4,5,36,2,3,AZ
60161,6,1,4,6,5,64,2,3,TX
60162,1,1,6,6,3,28,1,1,WI
60163,1,5,3,3,5,21,1,3,CA
60164,1,1,5,6,5,61,1,2,IL
60165,1,1,2,1,5,65,1,3,PA
60166,1,5,5,7,5,35,2,1,MO
60167,1,1,9,3,5,31,1,2,IN
60168,6,5,9,4,2,24,2,1,AZ
60169,1,1,4,4,4,37,2,2,AR
60170,1,1,4,5,4,53,1,3,PA
60171,1,1,2,3,2,34,2,2,OR
60172,3,1,4,3,5,60,1,3,TX
60173,1,1,4,6,2,66,1,3,VA
60174,1,1,9,7,4,70,1,3,FL
60175,1,1,4,2,5,51,2,3,CT
60176,1,1,4,1,5,44,2,2,MI
60177,2,1,4,1,1,60,2,2,GA
60178,4,5,7,7,4,34,1,3,VA
60179,1,1,6,7,3,53,1,3,VA
60180,1,1,2,1,5,37,2,3,NY
60181,1,5,4,4,5,56,2,2,CA
60182,1,1,2,2,4,46,2,2,NE
60183,3,9,3,2,5,38,2,2,CA
60184,6,1,3,4,4,63,2,3,NH
60185,1,1,2,1,5,29,1,1,NV
60186,5,9,9,2,2,41,1,2,NM
60187,1,1,4,4,3,54,1,2,MD
60188,1,1,7,7,1,79,2,3,CA
60189,1,1,4,1,3,31,2,2,TN
60190,1,1,6,7,5,50,1,3,AZ
60191,1,1,2,1,4,64,2,3,NY
60192,1,1,5,1,3,80,2,2,FL
60193,1,1,4,1,5,60,1,3,WI
60194,5,9,3,1,1,28,2,3,CA
60195,5,1,9,2,4,46,2,2,FL
60196,1,1,2,1,5,66,2,3,AZ
60197,2,9,9,6,5,63,1,3,MD
60198,1,5,4,4,3,38,2,2,CA
60199,1,1,6,6,5,59,2,3,TX
60200,1,1,6,5,5,64,1,3,CA
60201,1,1,7,7,4,72,1,3,OH
60202,1,1,1,3,5,68,1,3,WA
60203,1,1,4,2,5,28,2,2,FL
60204,1,1,2,2,5,27,1,1,IL
60205,1,1,2,1,5,62,2,3,MD
60206,1,1,5,6,5,70,1,2,TX
60207,1,1,2,1,5,29,2,2,CO
60208,2,1,9,1,4,62,1,3,NY
60209,1,1,9,4,4,60,2,2,PA
60210,1,1,6,5,5,69,2,3,NC
60211,1,1,4,1,5,58,0,3,CA
60212,1,1,5,7,3,47,2,3,GA
60213,1,1,4,7,1,53,2,3,MO
60214,1,1,9,3,4,72,1,2,FL
60215,1,1,2,1,5,35,2,3,KY
60216,1,1,7,7,2,62,2,2,MI
60217,1,1,2,1,5,73,2,3,CA
60218,1,1,7,7,3,28,1,3,IN
60219,1,1,4,6,5,57,2,3,PA
60220,1,1,5,2,2,29,1,2,KY
60221,1,1,3,4,4,39,1,3,IN
60222,6,5,2,1,5,55,2,2,WA
60223,1,1,4,4,3,42,2,3,OH
60224,1,1,7,7,2,67,2,3,PA
60225,1,1,6,5,4,58,1,3,CA
60226,1,5,6,7,2,67,1,2,KS
60227,1,1,7,7,2,58,2,3,IN
60228,1,1,2,2,5,25,1,3,IL
60229,2,5,2,2,5,73,2,1,AZ
60230,2,1,9,2,4,30,2,1,TX
60231,1,1,7,7,4,38,1,2,AL
60232,1,9,6,7,4,64,2,3,TX
60233,1,1,3,2,5,40,2,3,TX
60234,1,1,5,4,5,0,2,1,GA
60235,1,1,6,5,2,51,1,2,TX
60236,1,5,9,4,5,61,1,2,WA
60237,2,1,2,1,5,59,1,3,FL
60238,5,1,4,3,3,58,2,3,WI
60239,4,1,6,4,1,53,1,1,IN
60240,1,5,4,1,5,75,2,3,MI
60241,1,1,3,2,5,37,2,2,MI
60242,1,1,6,5,5,77,1,2,NC
60243,1,5,9,4,1,0,2,1,GA
60244,1,1,7,5,1,68,2,3,CT
60245,1,1,9,2,5,66,1,2,PA
60246,2,5,9,4,1,43,2,2,MI
60247,1,1,4,5,9,72,1,2,NJ
60248,1,1,5,6,4,50,2,2,NJ
60249,1,1,2,1,5,58,2,3,VT
60250,1,1,3,2,5,28,1,2,KY
60251,1,1,4,3,5,59,2,2,MI
60252,1,1,7,7,2,72,2,3,WI
60253,1,1,3,3,5,29,2,2,FL
60254,5,5,2,1,2,60,1,3,IL
60255,1,1,4,3,4,66,1,3,OH
60256,1,1,2,1,3,56,1,3,WI
60257,6,1,6,7,1,40,1,2,MD
60258,1,1,5,6,5,45,2,2,FL
60259,1,1,6,5,3,51,2,3,CA
60260,1,1,4,1,5,68,2,3,WA
60261,1,1,5,6,4,22,1,2,NJ
60262,1,1,5,7,5,40,2,3,AZ
60263,1,1,3,3,2,63,2,3,KS
60264,1,1,2,1,5,59,2,3,MD
60265,5,5,6,1,1,53,2,3,MD
60266,1,5,9,1,5,80,1,2,OR
60267,1,1,7,7,4,67,2,3,NE
60268,1,9,9,4,4,35,1,1,PA
60269,1,1,4,2,5,69,1,2,WA
60270,1,1,6,1,5,80,2,3,AZ
60271,1,1,7,7,2,62,1,3,IN
60272,1,1,9,7,4,38,2,1,MI
60273,1,1,9,7,4,71,2,3,MI
60274,1,1,6,7,5,80,1,2,GA
60275,1,1,4,2,4,61,2,3,NY
60276,1,1,6,7,2,65,1,3,TX
60277,1,1,9,4,5,30,1,1,IL
60278,6,1,9,7,2,38,2,3,NC
60279,1,9,9,5,5,80,2,3,CT
60280,1,1,2,2,5,80,1,3,PA
60281,1,1,5,6,1,0,2,3,NC
60282,1,5,6,5,5,65,2,1,NY
60283,1,1,2,2,5,48,1,3,NH
60284,1,1,1,1,5,38,2,2,IN
60285,1,1,5,5,5,0,1,3,NY
60286,1,1,3,2,5,67,2,2,MN
60287,2,1,9,3,1,80,2,2,TN
60288,1,1,4,3,5,33,2,3,CA
60289,1,1,6,7,1,76,2,3,IN
60290,2,9,9,1,1,43,2,3,MI
60291,2,1,2,1,5,32,2,3,MA
60292,1,1,6,6,5,41,2,3,NC
60293,1,1,7,5,2,80,1,3,NY
60294,2,1,3,1,2,45,2,2,TX
60295,1,1,2,1,5,56,2,3,NJ
60296,1,5,4,5,2,68,1,3,MD
60297,1,1,4,6,5,73,1,3,WA
60298,1,1,4,4,5,69,2,3,AZ
60299,1,1,3,1,5,73,2,2,VT
60300,1,1,6,7,4,43,1,3,FL
60301,5,5,4,4,2,48,1,1,TX
60302,4,1,4,4,4,62,2,3,AZ
60303,1,1,3,2,2,41,1,2,MN
60304,5,1,4,1,2,20,1,2,CA
60305,1,1,6,7,5,63,2,2,MN
60306,1,5,4,2,5,34,2,1,KS
60307,3,9,9,2,9,80,2,2,CA
60308,1,1,6,7,5,76,1,2,CA
60309,1,1,7,7,5,44,1,2,NC
60310,6,9,3,3,4,51,2,3,OH
60311,1,1,3,1,5,69,2,3,FL
60312,1,1,6,7,1,27,1,2,PA
60313,1,1,6,7,1,48,2,1,IL
60314,1,1,4,3,5,74,2,3,CO
60315,1,1,5,4,5,72,2,3,SC
60316,1,1,6,7,5,60,2,2,NM
60317,1,1,2,1,5,32,1,3,CO
60318,1,1,5,7,4,70,2,3,CA
60319,1,1,6,5,3,50,1,2,CO
60320,1,1,9,1,5,59,1,2,PA
60321,1,1,5,4,5,52,1,2,CA
60322,1,9,5,6,5,67,2,3,IL
60323,1,1,5,5,5,60,2,3,NJ
60324,1,1,3,2,5,24,1,1,OH
60325,5,1,3,7,5,31,1,2,CA
60326,1,1,6,7,1,39,1,3,IN
60327,3,1,4,3,5,73,1,2,CA
60328,6,1,9,1,1,43,2,2,OH
60329,1,1,6,6,5,28,1,3,OK
60330,1,1,3,3,2,70,1,3,MA
60331,1,1,2,1,5,72,1,2,TX
60332,5,1,3,2,5,59,1,2,TX
60333,1,5,9,4,5,35,1,2,FL
60334,1,1,7,7,1,26,2,1,AL
60335,1,1,4,1,1,80,2,3,KS
60336,1,1,4,3,5,76,2,3,MD
60337,1,1,9,3,5,31,1,2,MI
60338,5,1,4,4,5,24,1,2,MT
60339,1,1,2,1,1,53,1,3,MD
60340,2,1,4,1,5,55,2,3,IL
60341,3,1,1,1,5,39,2,3,NY
60342,4,1,9,2,2,32,1,2,IL
60343,1,5,9,5,1,80,2,1,MN
60344,5,9,9,2,4,45,1,1,TX
60345,1,1,7,7,4,40,1,2,WV
60346,1,5,9,4,5,64,1,3,OH
60347,1,1,3,1,5,40,2,3,MA
60348,1,1,3,1,5,52,1,3,CA
60349,1,1,2,1,5,67,2,3,AZ
60350,1,1,3,1,5,72,1,3,AZ
60351,1,1,7,7,1,0,1,2,AL
60352,1,1,9,7,5,79,1,3,OH
60353,1,1,3,1,1,67,2,3,PA
60354,5,1,3,3,5,24,1,3,FL
60355,4,1,1,2,5,43,2,1,NJ
60356,1,1,6,2,5,52,2,3,FL
60357,1,1,7,7,9,0,2,3,PA
60358,5,5,2,1,1,62,1,3,CA
60359,3,1,6,6,1,50,1,1,IL
60360,1,1,9,4,3,28,1,2,OH
60361,1,1,6,7,4,62,1,3,FL
60362,1,1,6,7,2,73,2,3,GA
60363,1,1,6,7,5,33,1,2,SC
60364,1,1,3,1,5,42,2,3,MI
60365,1,1,2,3,3,36,1,2,NH
60366,5,1,5,2,5,41,2,1,TX
60367,2,5,9,1,4,51,2,3,CA
60368,1,5,4,5,4,30,2,1,PA
60369,2,1,9,1,2,0,2,3,CT
60370,1,9,7,6,2,48,1,1,ID
60371,4,5,5,5,2,66,2,1,ID
60372,5,1,7,1,1,80,2,1,TX
60373,1,1,5,4,2,49,2,2,MT
60374,1,1,6,5,5,30,2,2,AR
60375,3,1,3,1,1,70,2,3,WI
60376,1,1,2,1,1,65,1,3,TX
60377,1,1,4,1,3,57,2,3,IN
60378,1,1,2,1,4,71,2,3,IN
60379,6,9,2,3,5,31,2,3,TX
60380,5,1,9,3,5,40,2,3,FL
60381,1,1,9,7,4,66,1,3,PA
60382,2,9,9,2,5,45,2,2,NY
60383,1,1,4,7,4,68,2,3,TN
60384,2,1,9,1,1,76,2,3,SC
60385,1,9,9,6,2,80,2,3,AR
60386,1,9,6,5,2,34,2,3,CA
60387,1,5,6,7,3,44,2,2,AL
60388,1,1,4,6,2,70,1,3,ID
60389,6,5,3,2,4,0,2,1,NY
60390,1,1,6,7,1,71,1,2,KS
60391,2,5,9,3,3,37,2,2,FL
60392,1,5,6,6,3,31,1,2,VA
60393,5,5,5,4,1,61,2,3,TX
60394,1,1,7,5,3,43,1,3,NC
60395,1,1,4,4,5,53,2,3,TX
60396,1,1,4,2,2,73,2,2,OH
60397,1,1,7,7,2,38,2,3,ID
60398,1,1,2,3,5,73,2,2,VA
60399,1,5,9,4,5,31,2,1,ME
60400,1,1,6,5,5,69,2,3,KS
60401,1,1,5,4,2,0,2,2,ID
60402,1,1,5,2,5,45,2,2,WA
60403,2,1,9,4,5,41,2,3,DC
60404,1,1,6,7,2,66,1,3,MD
60405,1,1,1,3,5,41,1,3,CA
60406,1,1,9,2,5,62,2,3,PA
60407,6,1,4,5,4,31,1,3,MA
60408,1,1,6,7,5,80,2,3,TX
60409,1,1,7,7,4,46,2,3,WI
60410,1,1,7,7,1,70,1,3,UT
60411,5,1,4,2,3,21,2,2,CA
60412,1,1,6,7,4,77,2,3,FL
60413,4,1,6,5,1,66,1,3,FL
60414,1,1,9,2,1,33,2,1,OH
60415,1,1,2,1,5,46,1,3,MI
60416,2,5,9,4,5,36,2,1,KS
60417,3,1,9,4,4,68,2,2,FL
60418,2,1,9,6,9,71,2,3,CA
60419,1,1,4,7,1,37,1,2,UT
60420,2,1,6,5,3,30,1,3,TX
60421,1,1,4,4,5,79,1,3,NH
60422,6,1,2,3,3,78,1,3,IL
60423,3,1,5,4,5,47,1,2,NJ
60424,1,1,2,1,5,72,2,3,WA
60425,1,1,9,1,5,71,2,3,NY
60426,1,1,5,5,5,36,1,2,GA
60427,1,1,5,3,5,35,1,2,CO
60428,5,1,9,2,2,56,2,2,CA
60429,1,1,4,5,5,64,1,3,OH
60430,1,1,3,4,5,41,1,1,OK
60431,1,1,4,4,5,50,1,3,GA
60432,1,9,7,7,1,77,2,3,NM
60433,6,1,4,6,5,0,2,3,MD
60434,1,1,7,7,5,31,2,2,WV
60435,1,1,3,3,5,61,1,3,IA
60436,1,1,2,1,5,62,2,3,OR
60437,1,1,6,7,5,57,1,1,AZ
60438,1,1,3,3,5,63,1,2,TX
60439,1,1,9,2,5,75,1,2,KS
60440,1,1,5,6,5,52,2,3,KY
60441,6,1,3,3,1,64,2,3,TN
60442,5,1,5,5,3,41,1,2,AZ
60443,1,1,6,7,3,51,1,3,TN
60444,1,1,6,7,5,45,1,3,MT
60445,5,1,4,1,5,68,2,3,CO
60446,1,1,6,7,4,73,1,2,PA
60447,1,1,5,6,3,65,1,2,FL
60448,1,9,7,7,1,52,1,3,NC
60449,5,1,9,7,5,64,1,3,CA
60450,1,1,6,7,5,71,1,3,GA
60451,4,1,4,6,3,38,2,3,OK
60452,1,1,3,4,2,24,2,2,TX
60453,2,5,4,7,5,66,2,3,OH
60454,2,9,9,1,4,50,2,3,AR
60455,1,1,1,3,5,49,1,3,TX
60456,3,1,2,3,4,40,2,2,AZ
60457,1,1,7,7,5,73,1,3,IA
60458,1,9,4,4,5,65,1,1,KS
60459,1,1,4,5,2,34,2,2,TN
60460,1,1,3,2,5,53,2,3,CA
60461,1,1,3,1,2,39,2,1,WI
60462,1,1,3,4,5,71,1,2,ND
60463,5,1,5,4,1,33,2,2,TX
60464,1,1,2,1,5,34,1,2,GA
60465,1,1,6,7,4,59,2,1,TX
60466,1,1,9,2,5,72,2,3,GA
60467,1,5,3,2,4,52,2,2,NY
60468,1,1,7,7,5,53,1,3,SC
60469,1,1,4,6,4,35,1,2,CA
60470,1,1,5,7,2,68,2,3,NM
60471,3,1,3,7,5,54,1,3,MA
60472,1,5,9,1,5,74,2,2,MI
60473,1,1,6,7,1,67,2,3,MA
60474,1,1,5,6,2,46,1,2,MN
60475,1,1,6,7,5,57,1,3,MA
60476,2,5,4,1,3,34,2,2,MD
60477,1,1,3,3,5,56,2,3,CA
60478,1,1,3,1,5,77,2,3,FL
60479,5,1,5,6,2,43,1,2,MI
60480,1,1,3,1,5,66,2,1,AR
60481,1,5,4,4,4,0,1,1,NY
60482,1,1,6,7,5,60,1,3,TX
60483,1,1,6,7,3,39,1,3,CT
60484,1,1,5,5,2,39,2,1,MO
60485,1,1,6,5,4,0,2,2,MD
60486,2,1,2,1,4,53,2,2,IL
60487,1,1,2,1,2,71,2,3,NY
60488,1,1,6,7,5,76,2,3,CA
60489,1,1,6,6,5,80,1,2,KY
60490,1,1,9,4,1,76,2,3,VA
60491,1,1,6,7,1,0,1,3,LA
60492,4,1,5,5,5,49,1,3,OK
60493,5,1,5,5,4,37,1,2,NY
60494,1,1,5,5,1,80,2,3,TN
60495,1,1,4,1,4,72,2,3,FL
60496,1,1,7,7,1,51,1,3,TN
60497,1,1,4,3,2,70,1,3,FL
60498,2,1,9,1,5,45,2,3,NC
60499,1,1,1,3,5,31,2,3,PA
60500,1,1,2,3,2,72,1,3,IL
60501,1,1,6,5,1,71,1,3,ID
60502,6,1,7,7,1,67,1,3,CO
60503,1,1,5,4,1,36,2,2,NJ
60504,1,1,5,5,4,58,1,3,NJ
60505,1,1,5,6,5,64,1,2,IN
60506,5,1,4,4,4,34,1,2,TX
60507,6,1,1,1,5,36,2,3,CA
60508,5,1,9,2,3,44,1,2,NY
60509,1,1,5,5,3,54,2,2,IA
60510,1,1,3,2,5,28,1,2,CA
60511,9,1,4,7,5,0,1,2,FL
60512,1,1,6,7,5,77,2,3,CA
60513,1,1,7,5,5,70,1,3,MA
60514,1,5,3,6,1,28,2,2,IL
60515,5,1,4,3,5,30,2,2,DC
60516,1,1,1,1,5,37,1,3,FL
60517,1,1,6,7,5,45,2,2,CA
60518,1,1,2,1,5,68,1,3,CA
60519,1,5,5,6,5,80,2,1,PA
60520,3,1,4,6,5,41,2,3,NY
60521,1,1,1,1,1,32,2,3,NY
60522,1,1,4,3,5,24,1,3,PA
60523,1,1,3,1,5,0,2,3,WA
60524,2,5,9,1,5,42,1,2,NJ
60525,1,1,5,6,4,26,2,1,MI
60526,1,1,2,1,5,50,1,3,NC
60527,1,1,4,4,4,46,1,3,MI
60528,2,1,9,2,5,52,1,2,CA
60529,1,5,9,7,1,35,2,1,TN
60530,1,1,9,2,4,76,1,3,SC
60531,1,1,2,1,5,63,2,3,MD
60532,5,1,4,4,1,39,1,1,TN
60533,3,1,6,6,3,28,1,3,IL
60534,1,1,3,4,5,66,1,3,KY
60535,1,1,3,3,2,45,2,3,MO
60536,1,1,1,1,1,69,1,3,MA
60537,1,1,6,7,4,59,1,3,MD
60538,1,1,4,4,5,79,1,3,TX
60539,1,1,6,7,5,80,2,2,OH
60540,1,1,4,4,5,38,1,1,VA
60541,1,1,3,3,2,74,2,2,MI
60542,2,1,5,3,3,54,2,1,NC
60543,1,1,2,4,5,45,2,2,KY
60544,1,1,4,4,5,42,2,3,ID
60545,1,1,7,7,1,75,1,3,KS
60546,1,1,9,6,5,33,2,2,WA
60547,5,5,4,3,5,40,1,2,NY
60548,1,1,9,6,5,56,2,1,NJ
60549,1,1,4,5,5,44,1,3,CA
60550,5,1,9,1,1,80,2,3,TX
60551,1,1,1,1,5,25,2,2,MI
60552,1,1,9,7,5,26,1,3,LA
60553,1,1,3,1,5,75,1,3,NV
60554,1,1,9,1,5,68,2,3,NJ
60555,1,1,4,5,4,27,1,3,FL
60556,5,1,2,1,5,46,2,1,CO
60557,1,1,6,7,4,71,1,3,AR
60558,1,1,2,1,5,49,2,3,NY
60559,2,1,9,3,5,57,1,1,OH
60560,1,1,5,5,1,80,2,3,MN
60561,1,1,6,7,1,66,2,3,OH
60562,5,5,6,6,4,43,2,1,CA
60563,1,5,2,7,5,55,2,3,IL
60564,1,1,5,5,2,64,1,1,IN
60565,1,1,4,5,5,80,1,3,ID
60566,4,1,2,3,5,57,2,3,MA
60567,2,1,3,2,1,32,2,2,GA
60568,1,5,9,6,5,53,1,2,MO
60569,1,1,6,7,1,68,2,2,OH
60570,1,1,4,3,5,67,2,3,FL
60571,1,9,6,6,5,26,2,2,FL
60572,2,5,9,2,2,50,2,3,DE
